线路,车牌号,发车时间,发车站,终点站,班次类型,区间/异常说明,最后可靠采集站点,本车首次观测,截至时间,临时结果,判定规则版本
浦东35路,沪A62981D,07:24,康恩路康浦路,东高路张杨北路,疑似区间车,同向出现后下一次主采样即未再发现该车，立即启动定向反向追踪；从最后位置反向+3站开始追踪，在康沈路秀康路方向确认反向推进5站，达到≥5站区间车判据,沪南路华夏西路,07:20,2026-09-16 20:01:08,是,dual-evidence-short-turn-v3
浦东35路,沪A17590A,09:24,东高路张杨北路,康恩路康浦路,疑似区间车,主采样物理轨迹已形成完整折返证据（同向连续推进→中途停止→空间衔接的反向连续推进）；虽未取得独立reverse-watch确认，仍按双证据规则判定疑似区间车,迎春路长柳路,06:01,2026-09-16 20:01:08,是,dual-evidence-short-turn-v3
浦东35路,沪A79307D,12:30,康恩路康浦路,东高路张杨北路,疑似区间车,主采样物理轨迹已形成完整折返证据（同向连续推进→中途停止→空间衔接的反向连续推进）；虽未取得独立reverse-watch确认，仍按双证据规则判定疑似区间车,沪南路高科西路,10:01,2026-09-16 20:01:08,是,dual-evidence-short-turn-v3
