线路,车牌号,发车时间,发车站,终点站,班次类型,区间/异常说明,最后可靠采集站点,本车首次观测,截至时间,临时结果,判定规则版本
浦东35路,沪A62981D,07:12,康恩路康浦路,东高路张杨北路,疑似区间车,同向实际位置连续推进至沪南路高科西路附近后停止；约10分钟后在浦建路锦绣路附近形成反向连续轨迹（8个采样点），空间衔接符合中途折返,沪南路高科西路,06:51,2026-09-14 14:50:53,是,trajectory-v3
浦东35路,沪A79307D,12:30,康恩路康浦路,东高路张杨北路,疑似区间车,同向实际位置连续推进至沪南路高科西路附近后停止；约20分钟后在浦建路锦绣路附近形成反向连续轨迹（6个采样点），空间衔接符合中途折返,沪南路高科西路,09:50,2026-09-14 14:50:53,是,trajectory-v3
