线路,车牌号,首次观测,最后观测,已上线运行,出现待发
182路,沪A13735A,2026-09-26T06:02:00+08:00,2026-09-26T10:31:49+08:00,是,是
182路,沪A31073D,2026-09-26T06:02:00+08:00,2026-09-26T10:31:49+08:00,是,是
182路,沪A32298D,2026-09-26T06:41:29+08:00,2026-09-26T10:31:49+08:00,是,是
182路,沪A35717D,2026-09-26T06:02:00+08:00,2026-09-26T10:21:55+08:00,是,是
182路,沪A55712D,2026-09-26T06:02:00+08:00,2026-09-26T10:31:49+08:00,是,是
182路,沪A66513D,2026-09-26T06:02:00+08:00,2026-09-26T08:32:04+08:00,是,是
182路,沪A67026D,2026-09-26T06:02:00+08:00,2026-09-26T10:31:49+08:00,是,是
182路,沪A67353D,2026-09-26T06:11:52+08:00,2026-09-26T10:31:49+08:00,是,是
182路,沪A67983D,2026-09-26T06:02:00+08:00,2026-09-26T10:31:49+08:00,是,是
182路,沪A68397D,2026-09-26T07:11:41+08:00,2026-09-26T10:31:49+08:00,是,是
182路,沪A68870D,2026-09-26T06:02:00+08:00,2026-09-26T10:31:49+08:00,是,是
