线路,车牌号,首次观测,最后观测,已上线运行,出现待发
182路,沪A08953A,2026-09-14T07:21:46+08:00,2026-09-14T10:32:27+08:00,是,是
182路,沪A12050A,2026-09-14T07:51:48+08:00,2026-09-14T10:32:27+08:00,是,是
182路,沪A13735A,2026-09-14T06:11:52+08:00,2026-09-14T10:32:27+08:00,是,是
182路,沪A31073D,2026-09-14T06:01:49+08:00,2026-09-14T10:21:50+08:00,是,是
182路,沪A31963D,2026-09-14T06:01:49+08:00,2026-09-14T10:32:27+08:00,是,是
182路,沪A32298D,2026-09-14T07:11:50+08:00,2026-09-14T10:32:27+08:00,是,是
182路,沪A32597D,2026-09-14T06:31:59+08:00,2026-09-14T10:01:54+08:00,是,是
182路,沪A35717D,2026-09-14T06:01:49+08:00,2026-09-14T10:32:27+08:00,是,是
182路,沪A55712D,2026-09-14T06:01:49+08:00,2026-09-14T10:32:27+08:00,是,是
182路,沪A67026D,2026-09-14T06:01:49+08:00,2026-09-14T10:32:27+08:00,是,是
182路,沪A67353D,2026-09-14T06:41:36+08:00,2026-09-14T10:32:27+08:00,是,是
182路,沪A67983D,2026-09-14T06:01:49+08:00,2026-09-14T10:32:27+08:00,是,是
182路,沪A68397D,2026-09-14T06:01:49+08:00,2026-09-14T10:32:27+08:00,是,是
182路,沪A68870D,2026-09-14T06:01:49+08:00,2026-09-14T10:32:27+08:00,是,是
