线路,车牌号,首次观测,最后观测,已上线运行,出现待发
182路,沪A02126A,2026-09-23T07:20:36+08:00,2026-09-23T12:21:59+08:00,是,是
182路,沪A08953A,2026-09-23T07:51:56+08:00,2026-09-23T12:21:59+08:00,是,是
182路,沪A12050A,2026-09-23T06:32:04+08:00,2026-09-23T10:12:26+08:00,是,是
182路,沪A13735A,2026-09-23T06:01:54+08:00,2026-09-23T12:21:59+08:00,是,是
182路,沪A31073D,2026-09-23T06:01:54+08:00,2026-09-23T12:21:59+08:00,是,是
182路,沪A32298D,2026-09-23T06:01:54+08:00,2026-09-23T12:21:59+08:00,是,是
182路,沪A35717D,2026-09-23T06:41:57+08:00,2026-09-23T12:21:59+08:00,是,是
182路,沪A55712D,2026-09-23T07:02:00+08:00,2026-09-23T12:21:59+08:00,是,是
182路,沪A66513D,2026-09-23T06:11:56+08:00,2026-09-23T12:21:59+08:00,是,是
182路,沪A67026D,2026-09-23T06:01:54+08:00,2026-09-23T12:21:59+08:00,是,是
182路,沪A67353D,2026-09-23T06:01:54+08:00,2026-09-23T11:51:43+08:00,是,是
182路,沪A67983D,2026-09-23T06:01:54+08:00,2026-09-23T12:21:59+08:00,是,是
182路,沪A68397D,2026-09-23T06:01:54+08:00,2026-09-23T12:21:59+08:00,是,是
182路,沪A68870D,2026-09-23T06:01:54+08:00,2026-09-23T12:21:59+08:00,是,是
