线路,车牌号,首次观测,最后观测,已上线运行,出现待发
浦东35路,沪A02316D,2026-09-13T06:01:04+08:00,2026-09-13T18:10:58+08:00,是,是
浦东35路,沪A05218D,2026-09-13T06:01:04+08:00,2026-09-13T18:10:58+08:00,是,是
浦东35路,沪A09172D,2026-09-13T06:50:54+08:00,2026-09-13T18:10:58+08:00,是,是
浦东35路,沪A11062A,2026-09-13T06:50:54+08:00,2026-09-13T18:10:58+08:00,是,是
浦东35路,沪A15330A,2026-09-13T06:01:04+08:00,2026-09-13T16:11:00+08:00,是,是
浦东35路,沪A15790A,2026-09-13T07:01:07+08:00,2026-09-13T18:10:58+08:00,是,是
浦东35路,沪A36993D,2026-09-13T06:01:04+08:00,2026-09-13T16:31:05+08:00,是,是
浦东35路,沪A37267D,2026-09-13T06:40:58+08:00,2026-09-13T18:10:58+08:00,是,是
浦东35路,沪A37823D,2026-09-13T06:20:55+08:00,2026-09-13T18:10:58+08:00,是,是
浦东35路,沪A51682D,2026-09-13T06:10:58+08:00,2026-09-13T18:10:58+08:00,是,是
浦东35路,沪A57051D,2026-09-13T06:40:58+08:00,2026-09-13T18:10:58+08:00,是,是
浦东35路,沪A62217D,2026-09-13T07:10:59+08:00,2026-09-13T18:10:58+08:00,是,是
浦东35路,沪A62880D,2026-09-13T06:20:55+08:00,2026-09-13T17:10:59+08:00,是,是
浦东35路,沪A62981D,2026-09-13T06:50:54+08:00,2026-09-13T18:10:58+08:00,是,是
浦东35路,沪A65668D,2026-09-13T06:50:54+08:00,2026-09-13T18:10:58+08:00,是,是
浦东35路,沪A67057D,2026-09-13T06:40:58+08:00,2026-09-13T18:10:58+08:00,是,是
浦东35路,沪A67672D,2026-09-13T06:01:04+08:00,2026-09-13T18:10:58+08:00,是,是
浦东35路,沪A67712D,2026-09-13T07:20:48+08:00,2026-09-13T18:10:58+08:00,是,是
浦东35路,沪A68261D,2026-09-13T06:01:04+08:00,2026-09-13T18:10:58+08:00,是,是
浦东35路,沪A68375D,2026-09-13T07:10:59+08:00,2026-09-13T18:10:58+08:00,是,是
浦东35路,沪A68895D,2026-09-13T06:50:54+08:00,2026-09-13T18:10:58+08:00,是,是
浦东35路,沪A70597D,2026-09-13T06:01:04+08:00,2026-09-13T18:10:58+08:00,是,是
浦东35路,沪A71572D,2026-09-13T07:30:57+08:00,2026-09-13T15:50:59+08:00,是,是
浦东35路,沪A72381D,2026-09-13T17:51:00+08:00,2026-09-13T18:10:58+08:00,是,否
浦东35路,沪A72873D,2026-09-13T06:01:04+08:00,2026-09-13T18:10:58+08:00,是,是
浦东35路,沪A73927D,2026-09-13T06:01:04+08:00,2026-09-13T18:10:58+08:00,是,是
浦东35路,沪A79307D,2026-09-13T09:01:06+08:00,2026-09-13T17:10:59+08:00,是,是
浦东35路,沪A90275D,2026-09-13T07:01:07+08:00,2026-09-13T18:10:58+08:00,是,是
浦东35路,沪A92076D,2026-09-13T07:20:48+08:00,2026-09-13T18:10:58+08:00,是,是
浦东35路,沪A95621D,2026-09-13T06:01:04+08:00,2026-09-13T16:20:54+08:00,是,是
