线路,车牌号,首次观测,最后观测,已上线运行,出现待发
浦东35路,沪A02316D,2026-09-18T06:01:12+08:00,2026-09-18T12:21:03+08:00,是,是
浦东35路,沪A05218D,2026-09-18T06:31:02+08:00,2026-09-18T12:21:03+08:00,是,是
浦东35路,沪A09172D,2026-09-18T06:20:59+08:00,2026-09-18T11:41:02+08:00,是,是
浦东35路,沪A11062A,2026-09-18T08:50:56+08:00,2026-09-18T11:31:01+08:00,是,是
浦东35路,沪A15330A,2026-09-18T09:31:02+08:00,2026-09-18T10:01:05+08:00,是,否
浦东35路,沪A15790A,2026-09-18T06:31:02+08:00,2026-09-18T12:21:03+08:00,是,是
浦东35路,沪A36993D,2026-09-18T06:41:17+08:00,2026-09-18T12:01:08+08:00,是,是
浦东35路,沪A37267D,2026-09-18T06:31:02+08:00,2026-09-18T12:21:03+08:00,是,是
浦东35路,沪A37823D,2026-09-18T06:50:56+08:00,2026-09-18T12:21:03+08:00,是,是
浦东35路,沪A51682D,2026-09-18T06:41:17+08:00,2026-09-18T12:21:03+08:00,是,是
浦东35路,沪A52272D,2026-09-18T07:01:09+08:00,2026-09-18T12:21:03+08:00,是,是
浦东35路,沪A55102D,2026-09-18T07:12:45+08:00,2026-09-18T12:21:03+08:00,是,是
浦东35路,沪A57051D,2026-09-18T07:31:04+08:00,2026-09-18T12:21:03+08:00,是,是
浦东35路,沪A62217D,2026-09-18T06:01:12+08:00,2026-09-18T10:50:54+08:00,是,是
浦东35路,沪A62981D,2026-09-18T06:01:12+08:00,2026-09-18T10:40:56+08:00,是,是
浦东35路,沪A65668D,2026-09-18T07:20:52+08:00,2026-09-18T12:21:03+08:00,是,是
浦东35路,沪A66883D,2026-09-18T06:01:12+08:00,2026-09-18T12:21:03+08:00,是,是
浦东35路,沪A67057D,2026-09-18T07:10:32+08:00,2026-09-18T12:21:03+08:00,是,是
浦东35路,沪A67712D,2026-09-18T07:10:32+08:00,2026-09-18T10:01:05+08:00,是,是
浦东35路,沪A68261D,2026-09-18T07:10:32+08:00,2026-09-18T12:21:03+08:00,是,是
浦东35路,沪A68375D,2026-09-18T06:50:56+08:00,2026-09-18T12:21:03+08:00,是,是
浦东35路,沪A68895D,2026-09-18T06:01:12+08:00,2026-09-18T11:01:14+08:00,是,是
浦东35路,沪A70597D,2026-09-18T06:01:12+08:00,2026-09-18T12:21:03+08:00,是,是
浦东35路,沪A71572D,2026-09-18T06:01:12+08:00,2026-09-18T11:01:14+08:00,是,是
浦东35路,沪A72305D,2026-09-18T06:01:12+08:00,2026-09-18T08:40:53+08:00,是,是
浦东35路,沪A72873D,2026-09-18T06:50:56+08:00,2026-09-18T10:31:08+08:00,是,是
浦东35路,沪A73927D,2026-09-18T06:20:59+08:00,2026-09-18T12:21:03+08:00,是,是
浦东35路,沪A79307D,2026-09-18T10:11:00+08:00,2026-09-18T12:21:03+08:00,是,是
浦东35路,沪A90275D,2026-09-18T06:01:12+08:00,2026-09-18T10:40:56+08:00,是,是
浦东35路,沪A95621D,2026-09-18T06:01:12+08:00,2026-09-18T11:31:01+08:00,是,是
