线路,车牌号,首次观测,最后观测,已上线运行,出现待发
浦东35路,沪A02316D,2026-09-12T06:01:08+08:00,2026-09-12T16:01:07+08:00,是,是
浦东35路,沪A05218D,2026-09-12T06:01:08+08:00,2026-09-12T16:01:07+08:00,是,是
浦东35路,沪A09172D,2026-09-12T07:20:53+08:00,2026-09-12T13:50:52+08:00,是,是
浦东35路,沪A11062A,2026-09-12T06:50:56+08:00,2026-09-12T14:50:59+08:00,是,是
浦东35路,沪A15330A,2026-09-12T06:01:08+08:00,2026-09-12T16:01:07+08:00,是,是
浦东35路,沪A15790A,2026-09-12T07:20:53+08:00,2026-09-12T13:10:53+08:00,是,是
浦东35路,沪A36993D,2026-09-12T06:01:08+08:00,2026-09-12T16:01:07+08:00,是,是
浦东35路,沪A37267D,2026-09-12T06:40:53+08:00,2026-09-12T12:20:53+08:00,是,是
浦东35路,沪A37823D,2026-09-12T06:20:54+08:00,2026-09-12T12:20:53+08:00,否,是
浦东35路,沪A51682D,2026-09-12T06:10:53+08:00,2026-09-12T11:40:51+08:00,是,是
浦东35路,沪A52272D,2026-09-12T06:40:53+08:00,2026-09-12T15:40:50+08:00,是,是
浦东35路,沪A57051D,2026-09-12T06:40:53+08:00,2026-09-12T16:01:07+08:00,是,是
浦东35路,沪A62217D,2026-09-12T07:01:17+08:00,2026-09-12T16:01:07+08:00,是,是
浦东35路,沪A62880D,2026-09-12T06:20:54+08:00,2026-09-12T16:01:07+08:00,是,是
浦东35路,沪A65668D,2026-09-12T06:50:56+08:00,2026-09-12T16:01:07+08:00,是,是
浦东35路,沪A67057D,2026-09-12T06:40:53+08:00,2026-09-12T16:01:07+08:00,是,是
浦东35路,沪A67672D,2026-09-12T06:01:08+08:00,2026-09-12T14:01:08+08:00,是,是
浦东35路,沪A67712D,2026-09-12T07:11:04+08:00,2026-09-12T12:40:53+08:00,是,是
浦东35路,沪A68261D,2026-09-12T06:01:08+08:00,2026-09-12T16:01:07+08:00,是,是
浦东35路,沪A68375D,2026-09-12T07:11:04+08:00,2026-09-12T16:01:07+08:00,是,是
浦东35路,沪A68895D,2026-09-12T06:01:08+08:00,2026-09-12T15:20:54+08:00,是,是
浦东35路,沪A70597D,2026-09-12T06:01:08+08:00,2026-09-12T16:01:07+08:00,是,是
浦东35路,沪A71572D,2026-09-12T07:30:40+08:00,2026-09-12T16:01:07+08:00,是,是
浦东35路,沪A72873D,2026-09-12T06:01:08+08:00,2026-09-12T16:01:07+08:00,是,是
浦东35路,沪A73927D,2026-09-12T06:01:08+08:00,2026-09-12T16:01:07+08:00,是,是
浦东35路,沪A79307D,2026-09-12T09:10:52+08:00,2026-09-12T16:01:07+08:00,是,是
浦东35路,沪A90275D,2026-09-12T07:20:53+08:00,2026-09-12T15:31:00+08:00,是,是
浦东35路,沪A92076D,2026-09-12T07:20:53+08:00,2026-09-12T16:01:07+08:00,是,是
浦东35路,沪A95621D,2026-09-12T06:01:08+08:00,2026-09-12T16:01:07+08:00,是,是
