线路,车牌号,首次观测,最后观测,已上线运行,出现待发
182路,沪A13735A,2026-09-25T06:01:49+08:00,2026-09-25T19:31:49+08:00,是,是
182路,沪A31073D,2026-09-25T06:01:49+08:00,2026-09-25T20:21:58+08:00,是,是
182路,沪A32298D,2026-09-25T06:11:48+08:00,2026-09-25T20:21:58+08:00,是,是
182路,沪A35717D,2026-09-25T06:01:49+08:00,2026-09-25T20:21:58+08:00,是,是
182路,沪A55712D,2026-09-25T06:01:49+08:00,2026-09-25T18:11:45+08:00,是,是
182路,沪A66513D,2026-09-25T06:01:49+08:00,2026-09-25T20:21:58+08:00,是,是
182路,沪A67026D,2026-09-25T06:01:49+08:00,2026-09-25T17:21:49+08:00,是,是
182路,沪A67353D,2026-09-25T06:01:49+08:00,2026-09-25T19:51:46+08:00,是,是
182路,沪A67983D,2026-09-25T06:01:49+08:00,2026-09-25T18:51:42+08:00,是,是
182路,沪A68397D,2026-09-25T06:41:39+08:00,2026-09-25T20:21:58+08:00,是,是
182路,沪A68870D,2026-09-25T07:11:47+08:00,2026-09-25T20:21:58+08:00,是,是
