线路,车牌号,首次观测,最后观测,已上线运行,出现待发
182路,沪A13735A,2026-09-19T06:01:41+08:00,2026-09-19T13:51:41+08:00,是,是
182路,沪A31073D,2026-09-19T06:01:41+08:00,2026-09-19T13:51:41+08:00,是,是
182路,沪A32298D,2026-09-19T06:01:41+08:00,2026-09-19T13:51:41+08:00,是,是
182路,沪A35717D,2026-09-19T06:41:37+08:00,2026-09-19T13:21:39+08:00,是,是
182路,沪A55712D,2026-09-19T07:11:39+08:00,2026-09-19T13:41:53+08:00,是,是
182路,沪A66513D,2026-09-19T06:11:40+08:00,2026-09-19T13:51:41+08:00,是,是
182路,沪A67026D,2026-09-19T06:01:41+08:00,2026-09-19T12:31:46+08:00,是,是
182路,沪A67353D,2026-09-19T06:01:41+08:00,2026-09-19T13:51:41+08:00,是,是
182路,沪A67983D,2026-09-19T06:01:41+08:00,2026-09-19T11:21:39+08:00,是,是
182路,沪A68397D,2026-09-19T06:01:41+08:00,2026-09-19T13:51:41+08:00,是,是
182路,沪A68870D,2026-09-19T06:01:41+08:00,2026-09-19T13:51:41+08:00,是,是
