线路,车牌号,首次观测,最后观测,已上线运行,出现待发
182路,沪A08953A,2026-09-15T06:02:01+08:00,2026-09-15T15:41:46+08:00,是,是
182路,沪A12050A,2026-09-15T07:21:46+08:00,2026-09-15T14:31:53+08:00,是,是
182路,沪A13735A,2026-09-15T06:11:51+08:00,2026-09-15T15:41:46+08:00,是,是
182路,沪A31073D,2026-09-15T06:02:01+08:00,2026-09-15T15:21:38+08:00,是,是
182路,沪A32298D,2026-09-15T07:02:03+08:00,2026-09-15T15:41:46+08:00,是,是
182路,沪A32597D,2026-09-15T07:51:55+08:00,2026-09-15T14:51:50+08:00,是,是
182路,沪A35717D,2026-09-15T06:02:01+08:00,2026-09-15T15:41:46+08:00,是,是
182路,沪A55712D,2026-09-15T06:02:01+08:00,2026-09-15T15:41:46+08:00,是,是
182路,沪A66513D,2026-09-15T06:02:01+08:00,2026-09-15T15:41:46+08:00,是,是
182路,沪A67026D,2026-09-15T06:02:01+08:00,2026-09-15T15:41:46+08:00,是,是
182路,沪A67353D,2026-09-15T06:41:42+08:00,2026-09-15T15:41:46+08:00,是,是
182路,沪A67983D,2026-09-15T06:02:01+08:00,2026-09-15T15:41:46+08:00,是,是
182路,沪A68397D,2026-09-15T06:02:01+08:00,2026-09-15T15:41:46+08:00,是,是
182路,沪A68870D,2026-09-15T06:31:45+08:00,2026-09-15T15:41:46+08:00,是,是
