线路,车牌号,首次观测,最后观测,已上线运行,出现待发
182路,沪A02126A,2026-09-12T06:01:52+08:00,2026-09-12T15:21:40+08:00,是,是
182路,沪A08953A,2026-09-12T06:01:52+08:00,2026-09-12T10:51:34+08:00,是,是
182路,沪A13735A,2026-09-12T06:41:42+08:00,2026-09-12T15:21:40+08:00,是,是
182路,沪A31073D,2026-09-12T06:01:52+08:00,2026-09-12T12:21:37+08:00,是,是
182路,沪A35717D,2026-09-12T06:01:52+08:00,2026-09-12T15:21:40+08:00,是,是
182路,沪A55712D,2026-09-12T06:01:52+08:00,2026-09-12T15:21:40+08:00,是,是
182路,沪A67026D,2026-09-12T06:01:52+08:00,2026-09-12T15:21:40+08:00,是,是
182路,沪A67353D,2026-09-12T07:11:59+08:00,2026-09-12T15:21:40+08:00,是,是
182路,沪A67983D,2026-09-12T06:11:38+08:00,2026-09-12T15:21:40+08:00,是,是
182路,沪A68397D,2026-09-12T06:01:52+08:00,2026-09-12T15:21:40+08:00,是,是
182路,沪A68870D,2026-09-12T06:01:52+08:00,2026-09-12T15:21:40+08:00,是,是
