线路,车牌号,首次观测,最后观测,已上线运行,出现待发
182路,沪A08953A,2026-09-13T06:01:40+08:00,2026-09-13T18:41:36+08:00,是,是
182路,沪A13735A,2026-09-13T06:41:47+08:00,2026-09-13T19:02:11+08:00,是,是
182路,沪A31073D,2026-09-13T06:01:40+08:00,2026-09-13T19:02:11+08:00,是,是
182路,沪A32298D,2026-09-13T06:01:40+08:00,2026-09-13T19:02:11+08:00,是,是
182路,沪A35717D,2026-09-13T06:01:40+08:00,2026-09-13T19:02:11+08:00,是,是
182路,沪A55712D,2026-09-13T06:01:40+08:00,2026-09-13T19:02:11+08:00,是,是
182路,沪A67026D,2026-09-13T06:01:40+08:00,2026-09-13T17:32:25+08:00,是,是
182路,沪A67353D,2026-09-13T07:11:52+08:00,2026-09-13T19:02:11+08:00,是,是
182路,沪A67983D,2026-09-13T06:11:40+08:00,2026-09-13T19:02:11+08:00,是,是
182路,沪A68397D,2026-09-13T06:01:40+08:00,2026-09-13T19:02:11+08:00,是,是
182路,沪A68870D,2026-09-13T06:01:40+08:00,2026-09-13T18:11:47+08:00,是,是
