线路,车牌号,首次观测,最后观测,已上线运行,出现待发
浦东35路,沪A02891D,2026-09-23T06:01:11+08:00,2026-09-23T06:11:04+08:00,是,否
浦东35路,沪A11062A,2026-09-23T06:01:11+08:00,2026-09-23T06:11:04+08:00,否,是
浦东35路,沪A62217D,2026-09-23T06:01:11+08:00,2026-09-23T06:11:04+08:00,是,是
浦东35路,沪A62981D,2026-09-23T06:01:11+08:00,2026-09-23T06:11:04+08:00,是,否
浦东35路,沪A65668D,2026-09-23T06:01:11+08:00,2026-09-23T06:11:04+08:00,是,否
浦东35路,沪A66883D,2026-09-23T06:01:11+08:00,2026-09-23T06:11:04+08:00,否,是
浦东35路,沪A67057D,2026-09-23T06:01:11+08:00,2026-09-23T06:11:04+08:00,是,否
浦东35路,沪A68261D,2026-09-23T06:01:11+08:00,2026-09-23T06:11:04+08:00,否,是
浦东35路,沪A68895D,2026-09-23T06:11:04+08:00,2026-09-23T06:11:04+08:00,否,是
浦东35路,沪A71572D,2026-09-23T06:01:11+08:00,2026-09-23T06:11:04+08:00,否,是
浦东35路,沪A90275D,2026-09-23T06:01:11+08:00,2026-09-23T06:11:04+08:00,是,是
