线路,车牌号,首次观测,最后观测,已上线运行,出现待发
浦东35路,沪A02316D,2026-09-22T06:31:06+08:00,2026-09-22T19:21:02+08:00,是,是
浦东35路,沪A02891D,2026-09-22T06:01:20+08:00,2026-09-22T19:31:07+08:00,是,是
浦东35路,沪A05218D,2026-09-22T06:51:02+08:00,2026-09-22T19:51:03+08:00,是,是
浦东35路,沪A09172D,2026-09-22T06:41:00+08:00,2026-09-22T21:01:19+08:00,是,是
浦东35路,沪A11062A,2026-09-22T06:01:20+08:00,2026-09-22T18:01:20+08:00,是,是
浦东35路,沪A15330A,2026-09-22T09:51:25+08:00,2026-09-22T21:01:19+08:00,是,是
浦东35路,沪A15790A,2026-09-22T07:11:05+08:00,2026-09-22T20:40:54+08:00,是,是
浦东35路,沪A36993D,2026-09-22T06:41:00+08:00,2026-09-22T21:01:19+08:00,是,是
浦东35路,沪A37267D,2026-09-22T06:31:06+08:00,2026-09-22T20:21:05+08:00,是,是
浦东35路,沪A37823D,2026-09-22T07:20:57+08:00,2026-09-22T21:01:19+08:00,是,是
浦东35路,沪A51682D,2026-09-22T06:20:59+08:00,2026-09-22T20:01:09+08:00,是,是
浦东35路,沪A55102D,2026-09-22T06:51:02+08:00,2026-09-22T19:21:02+08:00,是,是
浦东35路,沪A57051D,2026-09-22T06:01:20+08:00,2026-09-22T20:11:09+08:00,是,是
浦东35路,沪A62217D,2026-09-22T06:01:20+08:00,2026-09-22T21:01:19+08:00,是,是
浦东35路,沪A62880D,2026-09-22T07:31:02+08:00,2026-09-22T21:01:19+08:00,是,是
浦东35路,沪A62981D,2026-09-22T06:01:20+08:00,2026-09-22T20:51:08+08:00,是,是
浦东35路,沪A65668D,2026-09-22T06:01:20+08:00,2026-09-22T16:11:10+08:00,是,是
浦东35路,沪A66883D,2026-09-22T06:01:20+08:00,2026-09-22T16:41:10+08:00,是,是
浦东35路,沪A67057D,2026-09-22T06:01:20+08:00,2026-09-22T20:40:54+08:00,是,是
浦东35路,沪A67672D,2026-09-22T07:01:12+08:00,2026-09-22T21:01:19+08:00,是,是
浦东35路,沪A67712D,2026-09-22T06:20:59+08:00,2026-09-22T21:01:19+08:00,是,是
浦东35路,沪A68261D,2026-09-22T06:01:20+08:00,2026-09-22T19:11:07+08:00,是,是
浦东35路,沪A68375D,2026-09-22T06:51:02+08:00,2026-09-22T21:01:19+08:00,是,是
浦东35路,沪A70597D,2026-09-22T06:20:59+08:00,2026-09-22T17:11:07+08:00,是,是
浦东35路,沪A71572D,2026-09-22T06:01:20+08:00,2026-09-22T20:21:05+08:00,是,是
浦东35路,沪A72873D,2026-09-22T07:20:57+08:00,2026-09-22T21:01:19+08:00,是,是
浦东35路,沪A73927D,2026-09-22T07:01:12+08:00,2026-09-22T21:01:19+08:00,是,是
浦东35路,沪A79307D,2026-09-22T09:41:19+08:00,2026-09-22T20:31:11+08:00,是,是
浦东35路,沪A90275D,2026-09-22T17:51:04+08:00,2026-09-22T20:40:54+08:00,是,是
浦东35路,沪A95621D,2026-09-22T07:20:57+08:00,2026-09-22T15:31:12+08:00,是,是
