线路,车牌号,首次观测,最后观测,已上线运行,出现待发
浦东35路,沪A02316D,2026-09-17T06:01:08+08:00,2026-09-17T06:51:03+08:00,是,是
浦东35路,沪A05218D,2026-09-17T06:21:01+08:00,2026-09-17T06:51:03+08:00,是,是
浦东35路,沪A09172D,2026-09-17T06:01:08+08:00,2026-09-17T06:51:03+08:00,是,是
浦东35路,沪A11062A,2026-09-17T06:01:08+08:00,2026-09-17T06:51:03+08:00,是,是
浦东35路,沪A36993D,2026-09-17T06:10:55+08:00,2026-09-17T06:51:03+08:00,否,是
浦东35路,沪A37823D,2026-09-17T06:51:03+08:00,2026-09-17T06:51:03+08:00,否,是
浦东35路,沪A51682D,2026-09-17T06:40:54+08:00,2026-09-17T06:51:03+08:00,否,是
浦东35路,沪A55102D,2026-09-17T06:40:54+08:00,2026-09-17T06:51:03+08:00,是,否
浦东35路,沪A62217D,2026-09-17T06:21:01+08:00,2026-09-17T06:51:03+08:00,是,否
浦东35路,沪A66883D,2026-09-17T06:01:08+08:00,2026-09-17T06:51:03+08:00,是,否
浦东35路,沪A67057D,2026-09-17T06:51:03+08:00,2026-09-17T06:51:03+08:00,是,否
浦东35路,沪A67672D,2026-09-17T06:31:04+08:00,2026-09-17T06:51:03+08:00,否,是
浦东35路,沪A67712D,2026-09-17T06:51:03+08:00,2026-09-17T06:51:03+08:00,否,是
浦东35路,沪A68261D,2026-09-17T06:01:08+08:00,2026-09-17T06:51:03+08:00,是,否
浦东35路,沪A68375D,2026-09-17T06:01:08+08:00,2026-09-17T06:51:03+08:00,是,否
浦东35路,沪A70597D,2026-09-17T06:01:08+08:00,2026-09-17T06:51:03+08:00,是,是
浦东35路,沪A71572D,2026-09-17T06:01:08+08:00,2026-09-17T06:51:03+08:00,是,否
浦东35路,沪A72873D,2026-09-17T06:40:54+08:00,2026-09-17T06:51:03+08:00,否,是
浦东35路,沪A90275D,2026-09-17T06:01:08+08:00,2026-09-17T06:51:03+08:00,是,是
浦东35路,沪A95621D,2026-09-17T06:01:08+08:00,2026-09-17T06:51:03+08:00,是,是
