线路,车牌号,首次观测,最后观测,已上线运行,出现待发
浦东35路,沪A02316D,2026-09-20T06:21:01+08:00,2026-09-20T11:31:07+08:00,是,是
浦东35路,沪A02891D,2026-09-20T06:01:07+08:00,2026-09-20T10:40:55+08:00,是,是
浦东35路,沪A05218D,2026-09-20T06:40:56+08:00,2026-09-20T12:01:09+08:00,是,是
浦东35路,沪A09172D,2026-09-20T06:31:07+08:00,2026-09-20T14:01:13+08:00,是,是
浦东35路,沪A11062A,2026-09-20T06:01:07+08:00,2026-09-20T11:31:07+08:00,是,是
浦东35路,沪A15330A,2026-09-20T09:51:03+08:00,2026-09-20T09:51:03+08:00,是,否
浦东35路,沪A15790A,2026-09-20T07:01:17+08:00,2026-09-20T14:01:13+08:00,是,是
浦东35路,沪A36993D,2026-09-20T07:01:17+08:00,2026-09-20T12:11:01+08:00,是,是
浦东35路,沪A37823D,2026-09-20T06:40:56+08:00,2026-09-20T13:10:59+08:00,是,是
浦东35路,沪A51682D,2026-09-20T07:01:17+08:00,2026-09-20T12:31:12+08:00,是,是
浦东35路,沪A55102D,2026-09-20T06:40:56+08:00,2026-09-20T14:01:13+08:00,是,是
浦东35路,沪A57051D,2026-09-20T06:01:07+08:00,2026-09-20T14:01:13+08:00,是,是
浦东35路,沪A62217D,2026-09-20T07:20:55+08:00,2026-09-20T13:40:59+08:00,是,是
浦东35路,沪A62880D,2026-09-20T07:20:55+08:00,2026-09-20T14:01:13+08:00,是,是
浦东35路,沪A62981D,2026-09-20T06:40:56+08:00,2026-09-20T13:20:59+08:00,是,是
浦东35路,沪A65668D,2026-09-20T07:31:08+08:00,2026-09-20T14:01:13+08:00,是,是
浦东35路,沪A66373D,2026-09-20T07:20:55+08:00,2026-09-20T12:51:01+08:00,是,是
浦东35路,沪A66883D,2026-09-20T06:01:07+08:00,2026-09-20T14:01:13+08:00,是,是
浦东35路,沪A67057D,2026-09-20T07:10:57+08:00,2026-09-20T12:40:53+08:00,是,是
浦东35路,沪A67672D,2026-09-20T06:51:00+08:00,2026-09-20T14:01:13+08:00,是,是
浦东35路,沪A67712D,2026-09-20T06:01:07+08:00,2026-09-20T10:31:06+08:00,是,是
浦东35路,沪A68261D,2026-09-20T06:01:07+08:00,2026-09-20T11:10:56+08:00,是,是
浦东35路,沪A68375D,2026-09-20T06:01:07+08:00,2026-09-20T10:50:58+08:00,是,是
浦东35路,沪A68895D,2026-09-20T06:01:07+08:00,2026-09-20T14:01:13+08:00,是,是
浦东35路,沪A70597D,2026-09-20T06:01:07+08:00,2026-09-20T14:01:13+08:00,否,是
浦东35路,沪A71572D,2026-09-20T06:01:07+08:00,2026-09-20T14:01:13+08:00,是,是
浦东35路,沪A72873D,2026-09-20T07:20:55+08:00,2026-09-20T12:40:53+08:00,是,是
浦东35路,沪A73927D,2026-09-20T06:33:10+08:00,2026-09-20T14:01:13+08:00,是,是
浦东35路,沪A79307D,2026-09-20T09:51:03+08:00,2026-09-20T14:01:13+08:00,是,是
浦东35路,沪A95621D,2026-09-20T06:21:01+08:00,2026-09-20T14:01:13+08:00,是,是
