线路,车牌号,首次观测,最后观测,已上线运行,出现待发
182路,沪A02126A,2026-09-24T06:21:57+08:00,2026-09-24T17:41:58+08:00,是,是
182路,沪A08953A,2026-09-24T07:21:43+08:00,2026-09-24T19:41:48+08:00,是,是
182路,沪A12050A,2026-09-24T07:51:42+08:00,2026-09-24T19:49:40+08:00,是,是
182路,沪A13735A,2026-09-24T06:01:57+08:00,2026-09-24T19:49:40+08:00,是,是
182路,沪A31073D,2026-09-24T06:01:57+08:00,2026-09-24T19:02:16+08:00,是,是
182路,沪A32298D,2026-09-24T06:01:57+08:00,2026-09-24T19:49:40+08:00,是,是
182路,沪A35717D,2026-09-24T07:11:59+08:00,2026-09-24T19:49:40+08:00,是,是
182路,沪A55712D,2026-09-24T06:01:57+08:00,2026-09-24T19:49:40+08:00,是,是
182路,沪A66513D,2026-09-24T06:41:42+08:00,2026-09-24T19:49:40+08:00,是,是
182路,沪A67026D,2026-09-24T06:01:57+08:00,2026-09-24T19:49:40+08:00,是,是
182路,沪A67353D,2026-09-24T06:01:57+08:00,2026-09-24T19:49:40+08:00,是,是
182路,沪A67983D,2026-09-24T06:01:57+08:00,2026-09-24T19:49:40+08:00,是,是
182路,沪A68397D,2026-09-24T06:01:57+08:00,2026-09-24T19:49:40+08:00,是,是
182路,沪A68870D,2026-09-24T06:12:02+08:00,2026-09-24T19:49:40+08:00,是,是
