线路,车牌号,发车时间,发车站,终点站,班次类型,区间/异常说明,预计到达时间,全程时间（分钟）,到达置信度,到达估算方法,参与车速排名,最后可靠采集站点,最后可靠预计到达时间,本车首次观测,当日车速排名
浦东78路,沪A35172D,18:25,港城路地铁站,锦带路迎春路（浦东新区办公中心）,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,19:51,86.0,A,终点ETA多样本共识,是,杨高中路云山路,19:52,14:37,1
浦东78路,沪A35172D,16:15,锦带路迎春路（浦东新区办公中心）,港城路地铁站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,17:41,86.0,B,终点ETA多样本共识,是,和龙路清溪路,17:45,14:37,1
浦东78路,沪A35172D,20:15,锦带路迎春路（浦东新区办公中心）,港城路地铁站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,21:34,78.5,B,终点ETA多样本共识,是,和龙路花山路,21:35,14:37,1
浦东78路,沪A35186D,15:25,港城路地铁站,锦带路迎春路（浦东新区办公中心）,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,16:51,86.4,A,终点近站ETA确认,是,丁香路合欢路,16:51,14:37,14
浦东78路,沪A35186D,17:15,锦带路迎春路（浦东新区办公中心）,港城路地铁站,全程车,已取得接近终点的同向ETA证据；按全程运行处理,18:52,97.0,A,终点ETA多样本共识,是,和龙路清溪路,18:55,14:37,14
浦东78路,沪A35591D,16:10,港城路地铁站,锦带路迎春路（浦东新区办公中心）,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,17:41,91.4,A,终点近站ETA确认,是,丁香路合欢路,17:41,14:37,10
浦东78路,沪A35591D,17:55,锦带路迎春路（浦东新区办公中心）,港城路地铁站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,19:22,87.0,A,终点近站ETA确认,是,和龙路草高支路,19:22,14:37,10
浦东78路,沪A35616D,18:10,港城路地铁站,锦带路迎春路（浦东新区办公中心）,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,19:41,91.4,A,终点近站ETA确认,是,丁香路合欢路,19:41,14:37,16
浦东78路,沪A35616D,16:05,锦带路迎春路（浦东新区办公中心）,港城路地铁站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,17:41,96.4,A,终点近站ETA确认,是,和龙路草高支路,17:41,14:37,16
浦东78路,沪A36809D,15:00,港城路地铁站,锦带路迎春路（浦东新区办公中心）,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,16:21,81.4,A,终点近站ETA确认,是,丁香路合欢路,16:21,14:37,8
浦东78路,沪A36809D,19:05,港城路地铁站,锦带路迎春路（浦东新区办公中心）,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,20:26,80.7,B,终点ETA多样本共识,是,芳甸路杨高中路,20:28,14:37,8
浦东78路,沪A36809D,16:55,锦带路迎春路（浦东新区办公中心）,港城路地铁站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,18:38,102.6,B,终点ETA多样本共识,是,大同路和龙路,18:38,14:37,8
浦东78路,沪A36809D,20:40,锦带路迎春路（浦东新区办公中心）,港城路地铁站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,22:05,85.5,B,终点ETA多样本共识,是,杨高北路花山路,22:06,14:37,8
浦东78路,沪A51173D,15:55,港城路地铁站,锦带路迎春路（浦东新区办公中心）,运行异常待查,出现反方向到站预测，但未满足连续位置、时间及空间衔接三项折返证据；不判区间车,,,D,,否,杨高中路云山路,17:19,14:37,12
浦东78路,沪A51173D,17:40,锦带路迎春路（浦东新区办公中心）,港城路地铁站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,19:11,91.4,A,终点近站ETA确认,是,和龙路草高支路,19:11,14:37,12
浦东78路,沪A52736D,16:25,港城路地铁站,锦带路迎春路（浦东新区办公中心）,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,18:03,97.7,B,终点ETA多样本共识,是,丁香路长柳路,18:05,14:37,11
浦东78路,沪A52736D,14:45,锦带路迎春路（浦东新区办公中心）,港城路地铁站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,16:06,81.5,B,终点ETA多样本共识,是,大同路和龙路,16:08,14:37,11
浦东78路,沪A52736D,18:10,锦带路迎春路（浦东新区办公中心）,港城路地铁站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,19:41,91.4,A,终点近站ETA确认,是,和龙路草高支路,19:41,14:37,11
浦东78路,沪A53629D,16:40,港城路地铁站,锦带路迎春路（浦东新区办公中心）,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,18:19,98.7,B,终点ETA多样本共识,是,杨高中路云山路,18:23,14:37,7
浦东78路,沪A53629D,15:00,锦带路迎春路（浦东新区办公中心）,港城路地铁站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,16:21,81.4,A,终点近站ETA确认,是,和龙路草高支路,16:21,14:37,7
