车牌号,方向,发车时间,计划发车时间,发车时间依据,到达时间,全程时间,班次类型,班次类型判定依据,到达置信度,到达估算方法,参与车速排名,本车首次观测,最后可靠采集站点,最后可靠预计到达时间,备注,当日车速排名,当日计入排名班次,当日平均全程时间（分钟）
沪A02126A,0,07:48,07:48,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,07:25,平度路长岛路,09:22,存在终点ETA，但运行轨迹仍需复核,,0,
沪A02126A,1,09:50,09:50,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,07:25,川沙客运站,10:57,存在终点ETA，但运行轨迹仍需复核,,0,
沪A02126A,0,11:55,11:55,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,07:25,平度路长岛路,12:54,存在终点ETA，但运行轨迹仍需复核,,0,
沪A02126A,1,13:25,13:25,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,07:25,新川路川沙路,14:24,存在终点ETA，但运行轨迹仍需复核,,0,
沪A02126A,0,16:48,16:48,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,07:25,,,,,0,
沪A02126A,1,18:31,18:31,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,07:25,,,,,0,
沪A08953A,0,08:31,08:31,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,07:51,平度路长岛路,09:44,存在终点ETA，但运行轨迹仍需复核,,0,
沪A08953A,1,10:35,10:35,SHMAAS待发计划,待确认,,运行异常待查,存在方向切换，但未达到提前反向80%判据,D,证据不足,否,07:51,华夏三路新德西路,11:30,存在终点ETA，但运行轨迹仍需复核,,0,
沪A08953A,0,12:20,12:20,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,07:51,平度路长岛路,13:21,存在终点ETA，但运行轨迹仍需复核,,0,
沪A08953A,1,13:50,13:50,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,07:51,川沙客运站,15:03,存在终点ETA，但运行轨迹仍需复核,,0,
沪A08953A,0,17:15,17:15,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,07:51,,,,,0,
沪A12050A,0,07:36,07:36,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,07:11,金杨路金口路,09:17,存在终点ETA，但运行轨迹仍需复核,1,1,63
沪A12050A,1,09:35,09:35,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,07:11,新川路川沙路,10:36,存在终点ETA，但运行轨迹仍需复核,1,1,63
沪A12050A,0,11:30,11:30,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,07:11,金杨路金口路,12:41,存在终点ETA，但运行轨迹仍需复核,1,1,63
沪A12050A,1,13:00,13:00,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,07:11,新川路川沙路,13:59,存在终点ETA，但运行轨迹仍需复核,1,1,63
沪A12050A,0,16:12,16:12,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,07:11,金杨路金口路,17:35,存在终点ETA，但运行轨迹仍需复核,1,1,63
沪A12050A,1,17:45,17:45,SHMAAS待发计划,待确认,,运行异常待查,存在方向切换，但未达到提前反向80%判据,D,证据不足,否,07:11,长岛路台儿庄路,17:58,,1,1,63
沪A12050A,1,21:15,21:15,SHMAAS待发计划,22:18,63,全程车,未发现可靠中途折返证据,A,终点近站ETA,是,07:11,,,终点近站ETA推算，约±5分钟,1,1,63
沪A13735A,0,05:50,05:50,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,05:39,平度路长岛路,06:57,存在终点ETA，但运行轨迹仍需复核,,0,
沪A13735A,1,07:15,07:15,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,05:39,新川路川沙路,08:53,存在终点ETA，但运行轨迹仍需复核,,0,
沪A13735A,0,09:10,09:10,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,05:39,平度路长岛路,10:17,存在终点ETA，但运行轨迹仍需复核,,0,
沪A13735A,1,11:05,11:05,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,05:39,川沙客运站,12:22,存在终点ETA，但运行轨迹仍需复核,,0,
沪A13735A,0,14:20,14:20,SHMAAS待发计划,待确认,,运行异常待查,存在方向切换，但未达到提前反向80%判据,D,证据不足,否,05:39,佳林路金高路,15:10,存在终点ETA，但运行轨迹仍需复核,,0,
沪A13735A,1,15:40,15:40,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,05:39,新川路川沙路,16:53,存在终点ETA，但运行轨迹仍需复核,,0,
沪A13735A,0,17:50,17:50,SHMAAS待发计划,待确认,,运行异常待查,存在方向切换，但未达到提前反向80%判据,D,证据不足,否,05:39,新川路妙境路,18:01,,,0,
沪A31073D,0,06:35,06:35,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,05:39,平度路长岛路,07:54,存在终点ETA，但运行轨迹仍需复核,,0,
沪A31073D,1,08:15,08:15,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,05:39,新川路川沙路,09:32,存在终点ETA，但运行轨迹仍需复核,,0,
沪A31073D,0,10:15,10:15,SHMAAS待发计划,待确认,,运行异常待查,存在方向切换，但未达到提前反向80%判据,D,证据不足,否,05:39,佳林路金高路,11:11,存在终点ETA，但运行轨迹仍需复核,,0,
沪A31073D,1,12:00,12:00,SHMAAS待发计划,待确认,,运行异常待查,存在方向切换，但未达到提前反向80%判据,D,证据不足,否,05:39,华夏三路新德西路,12:53,存在终点ETA，但运行轨迹仍需复核,,0,
沪A31073D,0,15:45,15:45,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,05:39,平度路长岛路,16:54,存在终点ETA，但运行轨迹仍需复核,,0,
沪A31073D,1,17:15,17:15,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,05:39,,,,,0,
沪A32298D,0,06:20,06:20,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,05:39,金杨路金口路,07:45,存在终点ETA，但运行轨迹仍需复核,5,1,87
沪A32298D,1,07:55,07:55,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,05:39,新川路川沙路,09:16,存在终点ETA，但运行轨迹仍需复核,5,1,87
沪A32298D,0,09:50,09:50,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,05:39,金杨路金口路,11:02,存在终点ETA，但运行轨迹仍需复核,5,1,87
沪A32298D,1,11:40,11:40,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,05:39,新川路川沙路,12:42,存在终点ETA，但运行轨迹仍需复核,5,1,87
沪A32298D,0,15:15,15:15,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,05:39,平度路长岛路,16:17,存在终点ETA，但运行轨迹仍需复核,5,1,87
沪A32298D,1,16:40,16:40,SHMAAS待发计划,18:07,87,全程车,未发现可靠中途折返证据,C,末次终点ETA,是,05:39,,,末次终点ETA推算，约±15分钟,5,1,87
沪A32298D,0,18:40,18:40,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,05:39,,,,5,1,87
沪A35717D,1,06:10,06:10,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,05:39,川沙客运站,07:31,存在终点ETA，但运行轨迹仍需复核,7,1,93
沪A35717D,0,08:00,08:00,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,05:39,平度路长岛路,09:30,存在终点ETA，但运行轨迹仍需复核,7,1,93
沪A35717D,1,10:05,10:05,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,05:39,新川路川沙路,11:13,存在终点ETA，但运行轨迹仍需复核,7,1,93
沪A35717D,0,13:10,13:10,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,05:39,平度路长岛路,14:19,存在终点ETA，但运行轨迹仍需复核,7,1,93
沪A35717D,1,14:40,14:40,SHMAAS待发计划,待确认,,运行异常待查,存在方向切换，但未达到提前反向80%判据,D,证据不足,否,05:39,华夏三路新德西路,15:40,存在终点ETA，但运行轨迹仍需复核,7,1,93
沪A35717D,0,16:36,16:36,SHMAAS待发计划,18:09,93,全程车,未发现可靠中途折返证据,B,末次终点ETA,是,05:39,,,末次终点ETA推算，约±10分钟,7,1,93
