线路,临时车辆编号,车牌号,方向,始发站,发车时间,终点站,班次类型,班次类型判定依据,到达时间,全程时间,车速（km/h）,当日平均车速（km/h）,到达时间说明,到达误差估计（分钟）,本车首次观测,本车末次观测,数据源,区间站,区间站到达时间,区间站折返发车时间,区间时间说明,计划发车时间,发车时间依据,到达置信度,到达估算方法,参与车速排名,当日实际运营次数,当日计入排名班次,当日平均全程时间（分钟）,当日车速排名
182路,,沪A68397D,0,川沙客运站,06:05,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,07:16,71分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:01,16:22,SHMAAS,,,,,06:05,计划发车,A,终点ETA确认/一致估算,是,6,6,75.2,3/14
182路,,沪A67983D,1,金杨路金口路,06:10,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,07:22,72分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:01,16:22,SHMAAS,,,,,06:10,计划发车,A,终点ETA确认/一致估算,是,6,6,76.8,8/14
182路,,沪A68870D,0,川沙客运站,06:20,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,07:38,78分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:01,16:22,SHMAAS,,,,,06:20,计划发车,A,终点ETA确认/一致估算,是,6,6,77.0,9/14
182路,,沪A13735A,1,金杨路金口路,06:35,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,07:56,81分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:01,16:12,SHMAAS,,,,,06:35,计划发车,A,终点ETA确认/一致估算,是,5,5,77.2,10/14
182路,,沪A67026D,0,川沙客运站,06:35,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,07:55,80分钟,,,SHMAAS多次终点ETA一致估算，约±4分钟,4,06:01,16:22,SHMAAS,,,,,06:35,计划发车,A,终点ETA确认/一致估算,是,6,6,79.7,13/14
182路,,沪A66513D,0,川沙客运站,06:48,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:06,78分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:11,16:22,SHMAAS,,,,,06:48,计划发车,A,终点ETA确认/一致估算,是,6,6,75.3,4/14
182路,,沪A67353D,1,金杨路金口路,06:55,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:27,92分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:01,16:22,SHMAAS,,,,,06:55,计划发车,A,终点ETA确认/一致估算,是,5,5,74.6,1/14
182路,,沪A12050A,0,川沙客运站,07:00,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:23,83分钟,,,SHMAAS终点近站ETA直接确认，约±2分钟,2,06:32,16:22,SHMAAS,,,,,07:00,计划发车,A,终点ETA确认/一致估算,是,4,4,75.8,5/14
182路,,沪A35717D,0,川沙客运站,07:12,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:51,99分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:41,16:22,SHMAAS,,,,,07:12,计划发车,A,终点ETA确认/一致估算,是,5,5,78.4,12/14
182路,,沪A32298D,1,金杨路金口路,07:15,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:54,99分钟,,,SHMAAS多次终点ETA一致估算，约±4分钟,4,06:01,16:22,SHMAAS,,,,,07:15,计划发车,A,终点ETA确认/一致估算,是,5,5,81.0,14/14
182路,,沪A31073D,0,川沙客运站,07:24,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:02,98分钟,,,SHMAAS多次终点ETA一致估算，约±4分钟,4,06:01,16:22,SHMAAS,,,,,07:24,计划发车,A,终点ETA确认/一致估算,是,5,5,76.2,6/14
182路,,沪A68397D,1,金杨路金口路,07:35,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:14,99分钟,,,SHMAAS多次终点ETA一致估算，约±4分钟,4,06:01,16:22,SHMAAS,,,,,07:35,计划发车,A,终点ETA确认/一致估算,是,6,6,75.2,3/14
182路,,沪A55712D,0,川沙客运站,07:36,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:13,97分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,07:02,16:22,SHMAAS,,,,,07:36,计划发车,A,终点ETA确认/一致估算,是,5,5,77.4,11/14
182路,,沪A02126A,0,川沙客运站,07:48,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:26,98分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,07:20,16:22,SHMAAS,,,,,07:48,计划发车,A,终点ETA确认/一致估算,是,5,5,76.4,7/14
182路,,沪A68870D,1,金杨路金口路,07:55,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:26,91分钟,,,SHMAAS多次终点ETA一致估算，约±5分钟,5,06:01,16:22,SHMAAS,,,,,07:55,计划发车,A,终点ETA确认/一致估算,是,6,6,77.0,9/14
182路,,沪A67983D,0,川沙客运站,08:00,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:32,92分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:01,16:22,SHMAAS,,,,,08:00,计划发车,A,终点ETA确认/一致估算,是,6,6,76.8,8/14
182路,,沪A13735A,0,川沙客运站,08:15,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:39,84分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:01,16:12,SHMAAS,,,,,08:15,计划发车,A,终点ETA确认/一致估算,是,5,5,77.2,10/14
182路,,沪A67026D,1,金杨路金口路,08:15,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:36,81分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:01,16:22,SHMAAS,,,,,08:15,计划发车,A,终点ETA确认/一致估算,是,6,6,79.7,13/14
182路,,沪A08953A,0,川沙客运站,08:31,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:56,85分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,07:51,14:52,SHMAAS,,,,,08:31,计划发车,A,终点ETA确认/一致估算,是,4,4,74.8,2/14
