线路,车牌号,发车时间,发车站,终点站,班次类型,区间/异常说明,预计到达时间,全程时间（分钟）,到达置信度,到达估算方法,参与车速排名,最后可靠采集站点,最后可靠预计到达时间,本车首次观测,当日车速排名,当日计入排名班次,当日平均全程时间（分钟）
182路,沪A32298D,17:00,金杨路金口路,川沙客运站,运行异常待查,同车后续方向切换，但未满足提前折返判据,,,D,,否,新德西路德川路,,14:51,,,
182路,沪A32298D,20:30,金杨路金口路,川沙客运站,全程车,末次同向观测已进入线路末段，且未满足提前反向区间车判据；按全程运行处理,,,D,,否,新川路川沙路,,14:51,,,
182路,沪A35717D,17:00,川沙客运站,金杨路金口路,全程车,同车随后反向运行，且末次同向观测已进入线路末段；按全程运行处理,,,D,,否,长岛路台儿庄路,,14:38,,,
182路,沪A35717D,15:00,金杨路金口路,川沙客运站,全程车,同车随后反向运行，且末次同向观测已进入线路末段；按全程运行处理,,,D,,否,川环南路川沙路,,14:38,,,
182路,沪A35717D,18:45,金杨路金口路,川沙客运站,全程车,末次同向观测已进入线路末段，且未满足提前反向区间车判据；按全程运行处理,,,D,,否,川沙客运站,,14:38,,,
182路,沪A51671D,14:40,川沙客运站,金杨路金口路,疑似区间车,同车22分钟后已反向运行，早于同方向最短全程32分钟的80%阈值,,,D,,否,唐陆公路唐镇路,,14:38,,,
182路,沪A51671D,18:15,川沙客运站,金杨路金口路,运行异常待查,同车后续方向切换，但未满足提前折返判据,,,D,,否,东陆路金海路,,14:38,,,
182路,沪A51671D,16:00,金杨路金口路,川沙客运站,全程车,同车随后反向运行，且末次同向观测已进入线路末段；按全程运行处理,,,D,,否,川沙客运站,,14:38,,,
182路,沪A51671D,19:50,金杨路金口路,川沙客运站,全程车,末次同向观测已进入线路末段，且未满足提前反向区间车判据；按全程运行处理,,,D,,否,川沙路南桥路,,14:38,,,
182路,沪A55712D,17:30,川沙客运站,金杨路金口路,运行异常待查,同车后续方向切换，但未满足提前折返判据,,,D,,否,博兴路东陆路,,14:38,,,
182路,沪A55712D,15:20,金杨路金口路,川沙客运站,全程车,同车随后反向运行，且末次同向观测已进入线路末段；按全程运行处理,,,D,,否,新川路妙境路,,14:38,,,
182路,沪A55712D,19:15,金杨路金口路,川沙客运站,全程车,末次同向观测已进入线路末段，且未满足提前反向区间车判据；按全程运行处理,,,D,,否,川沙客运站,,14:38,,,
182路,沪A66513D,16:36,川沙客运站,金杨路金口路,运行异常待查,同车后续方向切换，但未满足提前折返判据,,,D,,否,佳林路金高路,,14:38,,,
182路,沪A66513D,14:40,金杨路金口路,川沙客运站,全程车,同车随后反向运行，且末次同向观测已进入线路末段；按全程运行处理,,,D,,否,新川路川沙路,,14:38,,,
182路,沪A66513D,18:15,金杨路金口路,川沙客运站,全程车,末次同向观测已进入线路末段，且未满足提前反向区间车判据；按全程运行处理,,,D,,否,川环南路妙境路,,14:38,,,
182路,沪A67026D,15:45,川沙客运站,金杨路金口路,运行异常待查,同车后续方向切换，但未满足提前折返判据,,,D,,否,唐陆公路顾家浜路,,15:01,,,
182路,沪A67026D,17:15,金杨路金口路,川沙客运站,全程车,末次同向观测已进入线路末段，且未满足提前反向区间车判据；按全程运行处理,,,D,,否,川环南路川沙路,,15:01,,,
182路,沪A67353D,15:15,川沙客运站,金杨路金口路,运行异常待查,同车后续方向切换，但未满足提前折返判据,,,D,,否,唐陆公路锦绣东路,,14:38,,,
182路,沪A67353D,18:40,川沙客运站,金杨路金口路,运行异常待查,同车后续方向切换，但未满足提前折返判据,,,D,,否,唐陆公路台桥路,,14:38,,,
182路,沪A67353D,16:40,金杨路金口路,川沙客运站,运行异常待查,同车后续方向切换，但未满足提前折返判据,,,D,,否,华夏三路城丰路,,14:38,,,
182路,沪A67353D,20:10,金杨路金口路,川沙客运站,全程车,末次同向观测已进入线路末段，且未满足提前反向区间车判据；按全程运行处理,,,D,,否,川环南路川沙路,,14:38,,,
182路,沪A67983D,17:50,川沙客运站,金杨路金口路,运行异常待查,同车后续方向切换，但未满足提前折返判据,,,D,,否,荷泽路长岛路,,14:38,,,
182路,沪A67983D,15:40,金杨路金口路,川沙客运站,全程车,同车随后反向运行，且末次同向观测已进入线路末段；按全程运行处理,,,D,,否,川环南路川沙路,,14:38,,,
182路,沪A67983D,19:30,金杨路金口路,川沙客运站,全程车,末次同向观测已进入线路末段，且未满足提前反向区间车判据；按全程运行处理,,,D,,否,川沙客运站,,14:38,,,
182路,沪A68397D,16:00,川沙客运站,金杨路金口路,运行异常待查,同车后续方向切换，但未满足提前折返判据,,,D,,否,唐陆公路春雅路,,15:21,,,
182路,沪A68397D,19:30,川沙客运站,金杨路金口路,运行异常待查,同车后续方向切换，但未满足提前折返判据,,,D,,否,唐陆公路锦绣东路,,15:21,,,
182路,沪A68397D,17:30,金杨路金口路,川沙客运站,运行异常待查,同车后续方向切换，但未满足提前折返判据,,,D,,否,唐陆公路创新路,,15:21,,,
182路,沪A68397D,20:50,金杨路金口路,川沙客运站,全程车,末次同向观测已进入线路末段，且未满足提前反向区间车判据；按全程运行处理,,,D,,否,川沙路南桥路,,15:21,,,
182路,沪A68870D,16:12,川沙客运站,金杨路金口路,运行异常待查,同车后续方向切换，但未满足提前折返判据,,,D,,否,博兴路东陆路,,15:41,,,
182路,沪A68870D,19:55,川沙客运站,金杨路金口路,运行异常待查,同车后续方向切换，但未满足提前折返判据,,,D,,否,唐陆公路龙东大道,,15:41,,,
182路,沪A68870D,17:45,金杨路金口路,川沙客运站,运行异常待查,同车后续方向切换，但未满足提前折返判据,,,D,,否,新德西路德川路,,15:41,,,
182路,沪A68870D,21:15,金杨路金口路,川沙客运站,运行中待确认,尚未观察到终点或反向运行证据,,,D,,否,唐陆公路顾家浜路,,15:41,,,
浦东35路,沪A02316D,19:10,东高路张杨北路,康恩路康浦路,运行异常待查,同车后续方向切换，但未满足提前折返判据,,,D,,否,迎春路长柳路,,16:01,,,
浦东35路,沪A02316D,16:30,康恩路康浦路,东高路张杨北路,运行异常待查,同车后续方向切换，但未满足提前折返判据,,,D,,否,五莲路莱阳路,,16:01,,,
浦东35路,沪A05218D,19:30,东高路张杨北路,康恩路康浦路,运行异常待查,同车后续方向切换，但未满足提前折返判据,,,D,,否,迎春路长柳路,,16:10,,,
浦东35路,沪A05218D,16:45,康恩路康浦路,东高路张杨北路,全程车,同车随后反向运行，且末次同向观测已进入线路末段；按全程运行处理,,,D,,否,东高路张杨北路,,16:10,,,
浦东35路,沪A09172D,16:00,东高路张杨北路,康恩路康浦路,运行异常待查,同车后续方向切换，但未满足提前折返判据,,,D,,否,康沈路秀康路,,15:31,,,
浦东35路,沪A09172D,18:50,康恩路康浦路,东高路张杨北路,全程车,末次同向观测已进入线路末段，且未满足提前反向区间车判据；按全程运行处理,,,D,,否,浦东大道东波路,,15:31,,,
浦东35路,沪A11062A,15:35,东高路张杨北路,康恩路康浦路,运行异常待查,同车后续方向切换，但未满足提前折返判据,,,D,,否,锦绣路花木路,,14:38,,,
浦东35路,沪A15330A,16:08,康恩路康浦路,东高路张杨北路,运行中待确认,尚未观察到终点或反向运行证据,,,D,,否,康沈路梓康路,,15:20,,,
浦东35路,沪A15790A,17:30,康恩路康浦路,东高路张杨北路,全程车,末次同向观测已进入线路末段，且未满足提前反向区间车判据；按全程运行处理,,,D,,否,东高路张杨北路,,14:38,,,
浦东35路,沪A36993D,17:45,东高路张杨北路,康恩路康浦路,全程车,末次同向观测已进入线路末段，且未满足提前反向区间车判据；按全程运行处理,,,D,,否,康恩路康浦路,,14:38,,,
浦东35路,沪A36993D,14:45,康恩路康浦路,东高路张杨北路,全程车,同车随后反向运行，且末次同向观测已进入线路末段；按全程运行处理,,,D,,否,东靖路东沟路,,14:38,,,
浦东35路,沪A37267D,17:15,康恩路康浦路,东高路张杨北路,全程车,末次同向观测已进入线路末段，且未满足提前反向区间车判据；按全程运行处理,,,D,,否,东高路张杨北路,,14:38,,,
浦东35路,沪A37823D,16:45,东高路张杨北路,康恩路康浦路,运行异常待查,发车后缺少同向轨迹,,,D,,否,,,16:10,,,
浦东35路,沪A37823D,19:40,康恩路康浦路,东高路张杨北路,运行异常待查,发车后缺少同向轨迹,,,D,,否,,,16:10,,,
浦东35路,沪A51682D,17:00,康恩路康浦路,东高路张杨北路,全程车,末次同向观测已进入线路末段，且未满足提前反向区间车判据；按全程运行处理,,,D,,否,东靖路莱阳路,,16:20,,,
浦东35路,沪A52272D,17:00,东高路张杨北路,康恩路康浦路,全程车,同车随后反向运行，且末次同向观测已进入线路末段；按全程运行处理,,,D,,否,康弘路康汇路,,16:20,,,
浦东35路,沪A52272D,20:05,康恩路康浦路,东高路张杨北路,全程车,末次同向观测已进入线路末段，且未满足提前反向区间车判据；按全程运行处理,,,D,,否,东靖路东沟路,,16:20,,,
浦东35路,沪A57051D,15:25,东高路张杨北路,康恩路康浦路,全程车,末次同向观测已进入线路末段，且未满足提前反向区间车判据；按全程运行处理,,,D,,否,康恩路康浦路,,14:38,,,
浦东35路,沪A62217D,15:00,东高路张杨北路,康恩路康浦路,全程车,同车随后反向运行，且末次同向观测已进入线路末段；按全程运行处理,,,D,,否,康恩路康丽路,,14:38,,,
浦东35路,沪A62217D,17:45,康恩路康浦路,东高路张杨北路,运行中待确认,尚未观察到终点或反向运行证据,,,D,,否,迎春路芳甸路,,14:38,,,
浦东35路,沪A62880D,18:00,东高路张杨北路,康恩路康浦路,全程车,末次同向观测已进入线路末段，且未满足提前反向区间车判据；按全程运行处理,,,D,,否,康汇路康恩路,,14:38,,,
浦东35路,沪A62880D,15:10,康恩路康浦路,东高路张杨北路,全程车,同车随后反向运行，且末次同向观测已进入线路末段；按全程运行处理,,,D,,否,浦东大道东波路,,14:38,,,
浦东35路,沪A65668D,19:00,东高路张杨北路,康恩路康浦路,全程车,末次同向观测已进入线路末段，且未满足提前反向区间车判据；按全程运行处理,,,D,,否,康汇路康恩路,,14:38,,,
浦东35路,沪A65668D,15:35,康恩路康浦路,东高路张杨北路,全程车,同车随后反向运行，且末次同向观测已进入线路末段；按全程运行处理,,,D,,否,东靖路东沟路,,14:38,,,
浦东35路,沪A65786D,18:20,东高路张杨北路,康恩路康浦路,运行异常待查,同车后续方向切换，但未满足提前折返判据,,,D,,否,沪南路芳华路,,17:50,,,
浦东35路,沪A65786D,20:55,康恩路康浦路,东高路张杨北路,运行中待确认,尚未观察到终点或反向运行证据,,,D,,否,浦建路杜鹃路,,17:50,,,
浦东35路,沪A67057D,17:30,东高路张杨北路,康恩路康浦路,运行异常待查,同车后续方向切换，但未满足提前折返判据,,,D,,否,康沈路秀康路,,17:01,,,
浦东35路,沪A67057D,20:30,康恩路康浦路,东高路张杨北路,运行中待确认,尚未观察到终点或反向运行证据,,,D,,否,金杨路金桥路,,17:01,,,
浦东35路,沪A67672D,16:30,东高路张杨北路,康恩路康浦路,运行异常待查,同车后续方向切换，但未满足提前折返判据,,,D,,否,康沈路秀沿路,,15:50,,,
浦东35路,沪A67672D,19:15,康恩路康浦路,东高路张杨北路,全程车,末次同向观测已进入线路末段，且未满足提前反向区间车判据；按全程运行处理,,,D,,否,东靖路张杨北路,,15:50,,,
浦东35路,沪A67712D,17:45,康恩路康浦路,东高路张杨北路,全程车,末次同向观测已进入线路末段，且未满足提前反向区间车判据；按全程运行处理,,,D,,否,东高路张杨北路,,14:38,,,
浦东35路,沪A68261D,16:15,东高路张杨北路,康恩路康浦路,全程车,同车随后反向运行，且末次同向观测已进入线路末段；按全程运行处理,,,D,,否,康弘路康汇路,,14:38,,,
浦东35路,沪A68261D,19:30,康恩路康浦路,东高路张杨北路,运行中待确认,尚未观察到终点或反向运行证据,,,D,,否,白桦路明月路,,14:38,,,
浦东35路,沪A68375D,18:00,康恩路康浦路,东高路张杨北路,全程车,末次同向观测已进入线路末段，且未满足提前反向区间车判据；按全程运行处理,,,D,,否,东靖路莱阳路,,14:38,,,
浦东35路,沪A68895D,15:45,东高路张杨北路,康恩路康浦路,运行异常待查,同车后续方向切换，但未满足提前折返判据,,,D,,否,周东路川周公路,,15:10,,,
浦东35路,沪A68895D,18:25,康恩路康浦路,东高路张杨北路,全程车,末次同向观测已进入线路末段，且未满足提前反向区间车判据；按全程运行处理,,,D,,否,东靖路张杨北路,,15:10,,,
浦东35路,沪A70597D,20:00,东高路张杨北路,康恩路康浦路,全程车,末次同向观测已进入线路末段，且未满足提前反向区间车判据；按全程运行处理,,,D,,否,康丽路康弘路,,14:38,,,
浦东35路,沪A71572D,19:40,东高路张杨北路,康恩路康浦路,全程车,末次同向观测已进入线路末段，且未满足提前反向区间车判据；按全程运行处理,,,D,,否,康弘路康丽路,,15:40,,,
浦东35路,沪A71572D,16:15,康恩路康浦路,东高路张杨北路,全程车,同车随后反向运行，且末次同向观测已进入线路末段；按全程运行处理,,,D,,否,东高路张杨北路,,15:40,,,
浦东35路,沪A90275D,19:20,东高路张杨北路,康恩路康浦路,全程车,末次同向观测已进入线路末段，且未满足提前反向区间车判据；按全程运行处理,,,D,,否,康恩路康丽路,,14:50,,,
浦东35路,沪A90275D,16:00,康恩路康浦路,东高路张杨北路,全程车,同车随后反向运行，且末次同向观测已进入线路末段；按全程运行处理,,,D,,否,东高路张杨北路,,14:50,,,
浦东35路,沪A92076D,18:40,东高路张杨北路,康恩路康浦路,全程车,末次同向观测已进入线路末段，且未满足提前反向区间车判据；按全程运行处理,,,D,,否,康弘路康丽路,,14:38,,,
浦东35路,沪A95621D,17:15,东高路张杨北路,康恩路康浦路,全程车,末次同向观测已进入线路末段，且未满足提前反向区间车判据；按全程运行处理,,,D,,否,康弘路康佳路（康桥卫生中心）,,14:38,,,
浦东78路,沪A35172D,18:25,港城路地铁站,锦带路迎春路（浦东新区办公中心）,运行异常待查,同车后续方向切换，但未满足提前折返判据,,,D,,否,五莲路荷泽路,,14:37,,,
浦东78路,沪A35172D,16:15,锦带路迎春路（浦东新区办公中心）,港城路地铁站,全程车,同车随后反向运行，且末次同向观测已进入线路末段；按全程运行处理,,,D,,否,港城路地铁站,,14:37,,,
浦东78路,沪A35172D,20:15,锦带路迎春路（浦东新区办公中心）,港城路地铁站,全程车,末次同向观测已进入线路末段，且未满足提前反向区间车判据；按全程运行处理,,,D,,否,和龙路草高支路,,14:37,,,
浦东78路,沪A35186D,15:25,港城路地铁站,锦带路迎春路（浦东新区办公中心）,全程车,同车随后反向运行，且末次同向观测已进入线路末段；按全程运行处理,,,D,,否,锦带路迎春路（浦东新区办公中心）,,14:37,,,
浦东78路,沪A35186D,17:15,锦带路迎春路（浦东新区办公中心）,港城路地铁站,全程车,末次同向观测已进入线路末段，且未满足提前反向区间车判据；按全程运行处理,,,D,,否,和龙路花山路,,14:37,,,
浦东78路,沪A35591D,16:10,港城路地铁站,锦带路迎春路（浦东新区办公中心）,全程车,同车随后反向运行，且末次同向观测已进入线路末段；按全程运行处理,,,D,,否,芳甸路杨高中路,,14:37,,,
浦东78路,沪A35591D,17:55,锦带路迎春路（浦东新区办公中心）,港城路地铁站,全程车,末次同向观测已进入线路末段，且未满足提前反向区间车判据；按全程运行处理,,,D,,否,港城路地铁站,,14:37,,,
浦东78路,沪A35616D,18:10,港城路地铁站,锦带路迎春路（浦东新区办公中心）,全程车,末次同向观测已进入线路末段，且未满足提前反向区间车判据；按全程运行处理,,,D,,否,锦带路迎春路（浦东新区办公中心）,,14:37,,,
浦东78路,沪A35616D,16:05,锦带路迎春路（浦东新区办公中心）,港城路地铁站,全程车,同车随后反向运行，且末次同向观测已进入线路末段；按全程运行处理,,,D,,否,大同路石家街（市七医院）,,14:37,,,
浦东78路,沪A36809D,15:00,港城路地铁站,锦带路迎春路（浦东新区办公中心）,全程车,同车随后反向运行，且末次同向观测已进入线路末段；按全程运行处理,,,D,,否,丁香路合欢路,,14:37,,,
浦东78路,沪A36809D,19:05,港城路地铁站,锦带路迎春路（浦东新区办公中心）,疑似区间车,同车26分钟后已反向运行，早于同方向最短全程33分钟的80%阈值,,,D,,否,杨高北路航津路,,14:37,,,
浦东78路,沪A36809D,16:55,锦带路迎春路（浦东新区办公中心）,港城路地铁站,全程车,同车随后反向运行，且末次同向观测已进入线路末段；按全程运行处理,,,D,,否,大同路石家街（市七医院）,,14:37,,,
浦东78路,沪A36809D,20:40,锦带路迎春路（浦东新区办公中心）,港城路地铁站,全程车,末次同向观测已进入线路末段，且未满足提前反向区间车判据；按全程运行处理,,,D,,否,大同路和龙路,,14:37,,,
浦东78路,沪A51173D,15:55,港城路地铁站,锦带路迎春路（浦东新区办公中心）,全程车,同车随后反向运行，且末次同向观测已进入线路末段；按全程运行处理,,,D,,否,丁香路合欢路,,14:37,,,
浦东78路,沪A51173D,17:40,锦带路迎春路（浦东新区办公中心）,港城路地铁站,全程车,末次同向观测已进入线路末段，且未满足提前反向区间车判据；按全程运行处理,,,D,,否,港城路地铁站,,14:37,,,
浦东78路,沪A52736D,16:25,港城路地铁站,锦带路迎春路（浦东新区办公中心）,运行异常待查,同车后续方向切换，但未满足提前折返判据,,,D,,否,五莲路荷泽路,,14:37,,,
浦东78路,沪A52736D,14:45,锦带路迎春路（浦东新区办公中心）,港城路地铁站,全程车,同车随后反向运行，且末次同向观测已进入线路末段；按全程运行处理,,,D,,否,大同路石家街（市七医院）,,14:37,,,
浦东78路,沪A52736D,18:10,锦带路迎春路（浦东新区办公中心）,港城路地铁站,全程车,末次同向观测已进入线路末段，且未满足提前反向区间车判据；按全程运行处理,,,D,,否,港城路地铁站,,14:37,,,
浦东78路,沪A53629D,16:40,港城路地铁站,锦带路迎春路（浦东新区办公中心）,运行异常待查,同车后续方向切换，但未满足提前折返判据,,,D,,否,云山路灵山路,,14:37,,,
浦东78路,沪A53629D,15:00,锦带路迎春路（浦东新区办公中心）,港城路地铁站,运行异常待查,同车后续方向切换，但未满足提前折返判据,,,D,,否,杨高北路花山路,,14:37,,,
浦东78路,沪A53629D,18:35,锦带路迎春路（浦东新区办公中心）,港城路地铁站,全程车,末次同向观测已进入线路末段，且未满足提前反向区间车判据；按全程运行处理,,,D,,否,和龙路草高支路,,14:37,,,
浦东78路,沪A55150D,14:50,港城路地铁站,锦带路迎春路（浦东新区办公中心）,全程车,同车随后反向运行，且末次同向观测已进入线路末段；按全程运行处理,,,D,,否,丁香路民生路,,14:37,,,
浦东78路,沪A55150D,18:40,港城路地铁站,锦带路迎春路（浦东新区办公中心）,全程车,末次同向观测已进入线路末段，且未满足提前反向区间车判据；按全程运行处理,,,D,,否,丁香路金松路,,14:37,,,
浦东78路,沪A55150D,16:40,锦带路迎春路（浦东新区办公中心）,港城路地铁站,全程车,同车随后反向运行，且末次同向观测已进入线路末段；按全程运行处理,,,D,,否,和龙路花山路,,14:37,,,
浦东78路,沪A55207D,15:40,港城路地铁站,锦带路迎春路（浦东新区办公中心）,全程车,同车随后反向运行，且末次同向观测已进入线路末段；按全程运行处理,,,D,,否,丁香路民生路,,15:10,,,
浦东78路,沪A55207D,19:58,港城路地铁站,锦带路迎春路（浦东新区办公中心）,疑似区间车,同车22分钟后已反向运行，早于同方向最短全程33分钟的80%阈值,,,D,,否,航津路地铁站,,15:10,,,
浦东78路,沪A55207D,17:25,锦带路迎春路（浦东新区办公中心）,港城路地铁站,运行异常待查,同车后续方向切换，但未满足提前折返判据,,,D,,否,大同路花山路,,15:10,,,
浦东78路,沪A55207D,21:40,锦带路迎春路（浦东新区办公中心）,港城路地铁站,运行中待确认,尚未观察到终点或反向运行证据,,,D,,否,云山路银山路,,15:10,,,
浦东78路,沪A56123D,17:25,港城路地铁站,锦带路迎春路（浦东新区办公中心）,运行异常待查,同车后续方向切换，但未满足提前折返判据,,,D,,否,五莲路荷泽路,,14:39,,,
浦东78路,沪A56123D,15:30,锦带路迎春路（浦东新区办公中心）,港城路地铁站,全程车,同车随后反向运行，且末次同向观测已进入线路末段；按全程运行处理,,,D,,否,大同路和龙路,,14:39,,,
浦东78路,沪A56123D,19:25,锦带路迎春路（浦东新区办公中心）,港城路地铁站,全程车,末次同向观测已进入线路末段，且未满足提前反向区间车判据；按全程运行处理,,,D,,否,港城路地铁站,,14:39,,,
浦东78路,沪A56630D,16:55,港城路地铁站,锦带路迎春路（浦东新区办公中心）,全程车,末次同向观测已进入线路末段，且未满足提前反向区间车判据；按全程运行处理,,,D,,否,丁香路金松路,,14:37,,,
浦东78路,沪A56630D,15:10,锦带路迎春路（浦东新区办公中心）,港城路地铁站,运行异常待查,同车后续方向切换，但未满足提前折返判据,,,D,,否,大同路花山路,,14:37,,,
浦东78路,沪A57022D,15:10,港城路地铁站,锦带路迎春路（浦东新区办公中心）,全程车,同车随后反向运行，且末次同向观测已进入线路末段；按全程运行处理,,,D,,否,芳甸路杨高中路,,14:37,,,
浦东78路,沪A57022D,19:30,港城路地铁站,锦带路迎春路（浦东新区办公中心）,运行异常待查,同车后续方向切换，但未满足提前折返判据,,,D,,否,金高路俱进路,,14:37,,,
浦东78路,沪A57022D,17:05,锦带路迎春路（浦东新区办公中心）,港城路地铁站,全程车,同车随后反向运行，且末次同向观测已进入线路末段；按全程运行处理,,,D,,否,大同路和龙路,,14:37,,,
浦东78路,沪A57022D,21:10,锦带路迎春路（浦东新区办公中心）,港城路地铁站,运行中待确认,尚未观察到终点或反向运行证据,,,D,,否,金高路源华路,,14:37,,,
浦东78路,沪A57902D,17:10,港城路地铁站,锦带路迎春路（浦东新区办公中心）,运行异常待查,同车后续方向切换，但未满足提前折返判据,,,D,,否,五莲路凌河路,,14:50,,,
浦东78路,沪A57902D,15:20,锦带路迎春路（浦东新区办公中心）,港城路地铁站,全程车,同车随后反向运行，且末次同向观测已进入线路末段；按全程运行处理,,,D,,否,大同路清溪路,,14:50,,,
浦东78路,沪A57902D,19:00,锦带路迎春路（浦东新区办公中心）,港城路地铁站,全程车,末次同向观测已进入线路末段，且未满足提前反向区间车判据；按全程运行处理,,,D,,否,大同路和龙路,,14:50,,,
浦东78路,沪A58633D,16:25,锦带路迎春路（浦东新区办公中心）,港城路地铁站,全程车,末次同向观测已进入线路末段，且未满足提前反向区间车判据；按全程运行处理,,,D,,否,港城路地铁站,,14:37,,,
浦东78路,沪A59117D,17:55,港城路地铁站,锦带路迎春路（浦东新区办公中心）,运行异常待查,同车后续方向切换，但未满足提前折返判据,,,D,,否,五莲路归昌路,,15:10,,,
浦东78路,沪A59117D,15:55,锦带路迎春路（浦东新区办公中心）,港城路地铁站,运行异常待查,同车后续方向切换，但未满足提前折返判据,,,D,,否,大同路花山路,,15:10,,,
浦东78路,沪A59117D,19:50,锦带路迎春路（浦东新区办公中心）,港城路地铁站,全程车,末次同向观测已进入线路末段，且未满足提前反向区间车判据；按全程运行处理,,,D,,否,大同路和龙路,,15:10,,,
浦东78路,沪A66391D,17:40,港城路地铁站,锦带路迎春路（浦东新区办公中心）,全程车,末次同向观测已进入线路末段，且未满足提前反向区间车判据；按全程运行处理,,,D,,否,丁香路金松路,,14:37,,,
浦东78路,沪A66391D,15:40,锦带路迎春路（浦东新区办公中心）,港城路地铁站,全程车,同车随后反向运行，且末次同向观测已进入线路末段；按全程运行处理,,,D,,否,和龙路清溪路,,14:37,,,
