临时车辆编号,车牌号,方向,始发站,发车时间,终点站,班次类型,班次类型判定依据,到达时间,全程时间,车速（km/h）,当日平均车速（km/h）,到达时间说明,到达误差估计（分钟）,本车首次观测,本车末次观测,数据源,区间站,区间站到达时间,区间站折返发车时间,区间时间说明,计划发车时间,发车时间依据,到达置信度,到达估算方法,参与车速排名,当日实际运营次数,当日计入排名班次,当日平均全程时间（分钟）,当日车速排名
,沪A59117D,0,港城路地铁站,06:20,锦带路迎春路（浦东新区办公中心）,全程车,已取得可靠同向线路终点ETA，按全程车保护,07:36,76分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:00,08:20,SHMAAS,,,,,06:20,计划发车,A,终点ETA确认/一致估算,是,2,1,76.0,1/12
,沪A35616D,1,锦带路迎春路（浦东新区办公中心）,06:40,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,07:58,78分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:30,08:20,SHMAAS,,,,,06:40,计划发车,A,终点ETA确认/一致估算,是,2,1,78.0,2/12
,沪A35591D,0,港城路地铁站,06:45,锦带路迎春路（浦东新区办公中心）,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:11,86分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:00,08:20,SHMAAS,,,,,06:45,计划发车,A,终点ETA确认/一致估算,是,2,1,86.0,5/12
,沪A58633D,1,锦带路迎春路（浦东新区办公中心）,07:00,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:21,81分钟,,,SHMAAS终点近站ETA直接确认，约±2分钟,2,06:30,08:20,SHMAAS,,,,,07:00,计划发车,A,终点ETA确认/一致估算,是,2,1,81.0,3/12
,沪A57022D,0,港城路地铁站,07:10,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,08:41,91分钟,,,SHMAAS末次终点ETA推算：08:20采样，终点ETA 21分钟,,06:00,08:20,SHMAAS,,,,,07:10,计划发车,C,末次终点ETA兜底,是,2,1,91.0,6/12
,沪A35186D,1,锦带路迎春路（浦东新区办公中心）,07:20,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:42,82分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:00,08:20,SHMAAS,,,,,07:20,计划发车,A,终点ETA确认/一致估算,是,2,1,82.0,4/12
,沪A35172D,0,港城路地铁站,07:35,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,09:15,100分钟,,,SHMAAS末次终点ETA推算：08:20采样，终点ETA 55分钟,,06:30,08:20,SHMAAS,,,,,07:35,计划发车,D,末次终点ETA兜底（误差可能>15分钟）,否,1,0,,—/12
,沪A59117D,1,锦带路迎春路（浦东新区办公中心）,07:40,港城路地铁站,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,待确认,待确认,,,尚无满足±5分钟标准的终点ETA,,06:00,08:20,SHMAAS,,,,,07:40,计划发车,D,证据不足,否,2,1,76.0,1/12
,沪A36809D,0,港城路地铁站,07:55,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,待确认,待确认,,,尚无满足±5分钟标准的终点ETA,,06:50,08:20,SHMAAS,,,,,07:55,计划发车,D,证据不足,否,1,0,,—/12
,沪A51173D,1,锦带路迎春路（浦东新区办公中心）,08:00,港城路地铁站,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,待确认,待确认,,,尚无满足±5分钟标准的终点ETA,,07:10,08:20,SHMAAS,,,,,08:00,计划发车,D,证据不足,否,1,0,,—/12
,沪A35591D,1,锦带路迎春路（浦东新区办公中心）,08:15,港城路地铁站,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,待确认,待确认,,,尚无满足±5分钟标准的终点ETA,,06:00,08:20,SHMAAS,,,,,08:15,计划发车,D,证据不足,否,2,1,86.0,5/12
,沪A35616D,0,港城路地铁站,08:15,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,待确认,待确认,,,尚无满足±5分钟标准的终点ETA,,06:30,08:20,SHMAAS,,,,,08:15,计划发车,D,证据不足,否,2,1,78.0,2/12
,沪A55150D,1,锦带路迎春路（浦东新区办公中心）,08:30,港城路地铁站,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,待确认,待确认,,,尚无满足±5分钟标准的终点ETA,,07:50,08:20,SHMAAS,,,,,08:30,计划发车,D,证据不足,否,1,0,,—/12
,沪A58633D,0,港城路地铁站,08:30,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,待确认,待确认,,,尚无满足±5分钟标准的终点ETA,,06:30,08:20,SHMAAS,,,,,08:30,计划发车,D,证据不足,否,2,1,81.0,3/12
,沪A55207D,0,港城路地铁站,08:45,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,待确认,待确认,,,尚无满足±5分钟标准的终点ETA,,08:00,08:20,SHMAAS,,,,,08:45,计划发车,D,证据不足,否,1,0,,—/12
,沪A57022D,1,锦带路迎春路（浦东新区办公中心）,08:45,港城路地铁站,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,待确认,待确认,,,尚无满足±5分钟标准的终点ETA,,06:00,08:20,SHMAAS,,,,,08:45,计划发车,D,证据不足,否,2,1,91.0,6/12
,沪A35186D,0,港城路地铁站,09:00,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,待确认,待确认,,,尚无满足±5分钟标准的终点ETA,,06:00,08:20,SHMAAS,,,,,09:00,计划发车,D,证据不足,否,2,1,82.0,4/12
,沪A56630D,1,锦带路迎春路（浦东新区办公中心）,09:00,港城路地铁站,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,待确认,待确认,,,尚无满足±5分钟标准的终点ETA,,08:20,08:20,SHMAAS,,,,,09:00,计划发车,D,证据不足,否,1,0,,—/12
