临时车辆编号,车牌号,方向,始发站,发车时间,终点站,班次类型,班次类型判定依据,到达时间,全程时间,车速（km/h）,当日平均车速（km/h）,到达时间说明,到达误差估计（分钟）,本车首次观测,本车末次观测,数据源,区间站,区间站到达时间,区间站折返发车时间,区间时间说明,计划发车时间,发车时间依据,到达置信度,到达估算方法,参与车速排名,当日实际运营次数,当日计入排名班次,当日平均全程时间（分钟）,当日车速排名
,沪A52736D,0,港城路地铁站,06:10,锦带路迎春路（浦东新区办公中心）,待确认,既无可靠终点到达证据，也未形成反向≥2站物理推进证据或可靠时空矛盾,待确认,待确认,,,尚无满足±5分钟标准的终点ETA,,06:00,07:10,SHMAAS,,,,,06:10,计划发车,D,待确认,否,1,0,,—/14
,沪A35616D,0,港城路地铁站,06:25,锦带路迎春路（浦东新区办公中心）,待确认,既无可靠终点到达证据，也未形成反向≥2站物理推进证据或可靠时空矛盾,待确认,待确认,,,尚无满足±5分钟标准的终点ETA,,06:00,07:10,SHMAAS,,,,,06:25,计划发车,D,待确认,否,1,0,,—/14
,沪A35186D,0,港城路地铁站,06:40,锦带路迎春路（浦东新区办公中心）,待确认,既无可靠终点到达证据，也未形成反向≥2站物理推进证据或可靠时空矛盾,待确认,待确认,,,尚无满足±5分钟标准的终点ETA,,06:00,07:10,SHMAAS,,,,,06:40,计划发车,D,待确认,否,1,0,,—/14
,沪A56630D,1,锦带路迎春路（浦东新区办公中心）,06:40,港城路地铁站,待确认,既无可靠终点到达证据，也未形成反向≥2站物理推进证据或可靠时空矛盾,待确认,待确认,,,尚无满足±5分钟标准的终点ETA,,06:30,07:10,SHMAAS,,,,,06:40,计划发车,D,待确认,否,1,0,,—/14
,沪A35172D,1,锦带路迎春路（浦东新区办公中心）,06:50,港城路地铁站,待确认,既无可靠终点到达证据，也未形成反向≥2站物理推进证据或可靠时空矛盾,待确认,待确认,,,尚无满足±5分钟标准的终点ETA,,06:30,07:10,SHMAAS,,,,,06:50,计划发车,D,待确认,否,1,0,,—/14
,沪A55150D,0,港城路地铁站,06:50,锦带路迎春路（浦东新区办公中心）,待确认,既无可靠终点到达证据，也未形成反向≥2站物理推进证据或可靠时空矛盾,待确认,待确认,,,尚无满足±5分钟标准的终点ETA,,06:20,07:10,SHMAAS,,,,,06:50,计划发车,D,待确认,否,1,0,,—/14
,沪A55207D,0,港城路地铁站,07:00,锦带路迎春路（浦东新区办公中心）,待确认,既无可靠终点到达证据，也未形成反向≥2站物理推进证据或可靠时空矛盾,待确认,待确认,,,尚无满足±5分钟标准的终点ETA,,06:30,07:10,SHMAAS,,,,,07:00,计划发车,D,待确认,否,1,0,,—/14
,沪A59117D,1,锦带路迎春路（浦东新区办公中心）,07:00,港城路地铁站,待确认,既无可靠终点到达证据，也未形成反向≥2站物理推进证据或可靠时空矛盾,待确认,待确认,,,尚无满足±5分钟标准的终点ETA,,06:30,07:10,SHMAAS,,,,,07:00,计划发车,D,待确认,否,1,0,,—/14
,沪A36809D,0,港城路地铁站,07:10,锦带路迎春路（浦东新区办公中心）,待确认,既无可靠终点到达证据，也未形成反向≥2站物理推进证据或可靠时空矛盾,待确认,待确认,,,尚无满足±5分钟标准的终点ETA,,06:50,07:00,SHMAAS,,,,,07:10,计划发车,D,待确认,否,1,0,,—/14
,沪A66391D,1,锦带路迎春路（浦东新区办公中心）,07:15,港城路地铁站,待确认,既无可靠终点到达证据，也未形成反向≥2站物理推进证据或可靠时空矛盾,待确认,待确认,,,尚无满足±5分钟标准的终点ETA,,06:50,07:10,SHMAAS,,,,,07:15,计划发车,D,待确认,否,1,0,,—/14
,沪A35591D,0,港城路地铁站,07:20,锦带路迎春路（浦东新区办公中心）,待确认,既无可靠终点到达证据，也未形成反向≥2站物理推进证据或可靠时空矛盾,待确认,待确认,,,尚无满足±5分钟标准的终点ETA,,07:00,07:10,SHMAAS,,,,,07:20,计划发车,D,待确认,否,1,0,,—/14
,沪A37970D,0,港城路地铁站,07:30,锦带路迎春路（浦东新区办公中心）,待确认,既无可靠终点到达证据，也未形成反向≥2站物理推进证据或可靠时空矛盾,待确认,待确认,,,尚无满足±5分钟标准的终点ETA,,06:20,07:10,SHMAAS,,,,,07:30,计划发车,D,待确认,否,1,0,,—/14
,沪A51173D,1,锦带路迎春路（浦东新区办公中心）,07:30,港城路地铁站,待确认,既无可靠终点到达证据，也未形成反向≥2站物理推进证据或可靠时空矛盾,待确认,待确认,,,尚无满足±5分钟标准的终点ETA,,07:00,07:10,SHMAAS,,,,,07:30,计划发车,D,待确认,否,1,0,,—/14
,沪A56123D,1,锦带路迎春路（浦东新区办公中心）,07:45,港城路地铁站,待确认,既无可靠终点到达证据，也未形成反向≥2站物理推进证据或可靠时空矛盾,待确认,待确认,,,尚无满足±5分钟标准的终点ETA,,06:00,07:10,SHMAAS,,,,,07:45,计划发车,D,待确认,否,1,0,,—/14
