线路,车牌号,发车时间,发车站,终点站,班次类型,区间/异常说明,预计到达时间,全程时间（分钟）,到达置信度,到达估算方法,参与车速排名,最后可靠采集站点,最后可靠预计到达时间,本车首次观测,当日车速排名
182路,沪A08953A,08:10,川沙客运站,金杨路金口路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,09:21,70.6,B,终点ETA多样本共识,是,平度路长岛路,09:19,06:01,4
182路,沪A08953A,12:34,川沙客运站,金杨路金口路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,13:43,68.8,A,终点近站ETA确认,是,金杨路金桥路,13:43,06:01,4
182路,沪A08953A,16:10,川沙客运站,金杨路金口路,运行异常待查,出现反方向到站预测，但未满足连续位置、时间及空间衔接三项折返证据；不判区间车,,,D,,否,长岛路台儿庄路,17:21,06:01,4
182路,沪A08953A,06:35,金杨路金口路,川沙客运站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,07:41,66.3,B,终点ETA多样本共识,是,川环南路妙境路,07:44,06:01,4
182路,沪A08953A,09:35,金杨路金口路,川沙客运站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,10:46,70.6,A,终点ETA多样本共识,是,川沙路南桥路,10:46,06:01,4
182路,沪A08953A,13:59,金杨路金口路,川沙客运站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,15:13,73.6,A,终点近站ETA确认,是,川环南路妙境路,15:13,06:01,4
182路,沪A08953A,17:35,金杨路金口路,川沙客运站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,18:47,71.6,B,终点ETA多样本共识,是,新川路川沙路,18:50,06:01,4
182路,沪A13735A,07:20,川沙客运站,金杨路金口路,运行异常待查,出现反方向到站预测，但未满足连续位置、时间及空间衔接三项折返证据；不判区间车,,,D,,否,佳林路金高路,08:32,06:41,7
182路,沪A13735A,10:42,川沙客运站,金杨路金口路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,11:53,71.2,B,终点ETA多样本共识,是,金杨路金业路,11:58,06:41,7
182路,沪A13735A,15:15,川沙客运站,金杨路金口路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,16:28,72.9,A,终点ETA多样本共识,是,长岛路台儿庄路,16:30,06:41,7
182路,沪A13735A,18:40,川沙客运站,金杨路金口路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,19:51,71.2,A,终点ETA多样本共识,是,博兴路东陆路,19:54,06:41,7
182路,沪A13735A,08:45,金杨路金口路,川沙客运站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,09:57,71.7,A,终点ETA多样本共识,是,新川路川沙路,09:59,06:41,7
182路,沪A13735A,12:07,金杨路金口路,川沙客运站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,13:25,77.7,B,终点ETA多样本共识,是,新川路川沙路,13:29,06:41,7
