临时车辆编号,车牌号,方向,始发站,发车时间,终点站,班次类型,班次类型判定依据,到达时间,全程时间,车速（km/h）,当日平均车速（km/h）,到达时间说明,到达误差估计（分钟）,本车首次观测,本车末次观测,数据源,区间站,区间站到达时间,区间站折返发车时间,区间时间说明,计划发车时间,发车时间依据,到达置信度,到达估算方法,参与车速排名,当日实际运营次数,当日计入排名班次,当日平均全程时间（分钟）,当日车速排名
,沪A57051D,1,康恩路康浦路,06:10,东高路张杨北路,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:42,152分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:01,11:11,SHMAAS,,,,,06:10,计划发车,A,终点ETA确认/一致估算,是,2,2,148.0,22/28
,沪A62217D,0,东高路张杨北路,06:10,康恩路康浦路,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:18,128分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:01,11:01,SHMAAS,,,,,06:10,计划发车,A,终点ETA确认/一致估算,是,2,2,133.0,3/28
,沪A68261D,0,东高路张杨北路,06:26,康恩路康浦路,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:50,144分钟,,,SHMAAS多次终点ETA一致估算，约±4分钟,4,06:01,12:21,SHMAAS,,,,,06:26,计划发车,A,终点ETA确认/一致估算,是,3,3,139.7,10/28
,沪A66883D,1,康恩路康浦路,06:30,东高路张杨北路,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:13,163分钟,,,SHMAAS终点近站ETA直接确认，约±2分钟,2,06:01,12:21,SHMAAS,,,,,06:30,计划发车,A,终点ETA确认/一致估算,是,3,3,147.3,20/28
,沪A11062A,0,东高路张杨北路,06:36,康恩路康浦路,疑似区间车,原方向在全程46%处后消失；随后反向物理轨迹由seq29推进至seq64，推进35站，达到≥2站确认条件,待确认,待确认,,,尚无满足±5分钟标准的终点ETA,,06:01,11:31,SHMAAS,物理seq30（站名待映射）,07:46,07:54,折返点按重建物理位置seq30映射；到达按末次同向ETA估算；折返发车结合首次反向物理观测取区间中点，约±8分钟；反向位置锦绣路花木路 ETA 0分钟参与校验,06:36,计划发车,D,待确认,否,2,0,,—/28
,沪A67712D,0,东高路张杨北路,06:41,康恩路康浦路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,09:23,162分钟,,,SHMAAS末次终点ETA推算：09:12采样，终点ETA 11分钟,,06:20,11:31,SHMAAS,,,,,06:41,计划发车,B,末次终点ETA兜底,是,2,2,143.5,13/28
,沪A71572D,1,康恩路康浦路,06:42,东高路张杨北路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,09:13,152分钟,,,同车下一次反向发车09:32，减去该车自身同类时段历史终点停站中位数18分钟，约±5分钟,5,06:01,11:51,SHMAAS,,,,,06:42,计划发车,B,同车反向发车反推,是,2,2,142.5,12/28
,沪A02316D,0,东高路张杨北路,06:54,康恩路康浦路,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:24,150分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:31,12:21,SHMAAS,,,,,06:54,计划发车,A,终点ETA确认/一致估算,是,3,3,135.0,4/28
,沪A70597D,1,康恩路康浦路,06:54,东高路张杨北路,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:38,164分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:20,12:21,SHMAAS,,,,,06:54,计划发车,A,终点ETA确认/一致估算,是,3,2,146.0,18/28
,沪A09172D,0,东高路张杨北路,07:06,康恩路康浦路,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:43,157分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:41,12:01,SHMAAS,,,,,07:06,计划发车,A,终点ETA确认/一致估算,是,2,2,144.0,14/28
