临时车辆编号,车牌号,方向,始发站,发车时间,终点站,班次类型,班次类型判定依据,到达时间,全程时间,车速（km/h）,当日平均车速（km/h）,到达时间说明,到达误差估计（分钟）,本车首次观测,本车末次观测,数据源,区间站,区间站到达时间,区间站折返发车时间,区间时间说明,计划发车时间,发车时间依据,到达置信度,到达估算方法,参与车速排名,当日实际运营次数,当日计入排名班次,当日平均全程时间（分钟）,当日车速排名
,沪A59117D,0,港城路地铁站,06:10,锦带路迎春路（浦东新区办公中心）,全程车,已取得可靠同向线路终点ETA，按全程车保护,07:41,91分钟,,,SHMAAS终点近站ETA直接确认，约±2分钟,2,06:00,17:20,SHMAAS,,,,,06:10,计划发车,A,终点ETA确认/一致估算,是,4,4,87.5,6/18
,沪A35172D,0,港城路地铁站,06:25,锦带路迎春路（浦东新区办公中心）,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:14,109分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:00,17:20,SHMAAS,,,,,06:25,计划发车,A,终点ETA确认/一致估算,是,7,7,89.6,12/18
,沪A35186D,0,港城路地铁站,06:40,锦带路迎春路（浦东新区办公中心）,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:33,113分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:20,17:20,SHMAAS,,,,,06:40,计划发车,A,终点ETA确认/一致估算,是,4,4,96.0,17/18
,沪A35591D,1,锦带路迎春路（浦东新区办公中心）,06:40,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:16,96分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:30,17:20,SHMAAS,,,,,06:40,计划发车,A,终点ETA确认/一致估算,是,7,6,89.5,11/18
,沪A52736D,0,港城路地铁站,06:40,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,待确认,待确认,,,尚无满足±5分钟标准的终点ETA,,06:00,06:10,SHMAAS,,,,,06:40,计划发车,D,证据不足,否,1,0,,—/18
,沪A36809D,1,锦带路迎春路（浦东新区办公中心）,06:50,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:21,91分钟,,,SHMAAS终点近站ETA直接确认，约±2分钟,2,06:30,17:20,SHMAAS,,,,,06:50,计划发车,A,终点ETA确认/一致估算,是,5,4,88.0,8/18
,沪A56630D,0,港城路地铁站,06:55,锦带路迎春路（浦东新区办公中心）,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:49,114分钟,,,SHMAAS多次终点ETA一致估算，约±4分钟,4,06:20,17:20,SHMAAS,,,,,06:55,计划发车,A,终点ETA确认/一致估算,是,6,6,90.8,15/18
,沪A55207D,1,锦带路迎春路（浦东新区办公中心）,07:00,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:35,95分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:30,17:20,SHMAAS,,,,,07:00,计划发车,A,终点ETA确认/一致估算,是,7,7,89.0,9/18
,沪A35616D,0,港城路地铁站,07:10,锦带路迎春路（浦东新区办公中心）,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:02,112分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:30,17:20,SHMAAS,,,,,07:10,计划发车,A,终点ETA确认/一致估算,是,4,4,95.8,16/18
,沪A56123D,1,锦带路迎春路（浦东新区办公中心）,07:15,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:51,96分钟,,,SHMAAS终点近站ETA直接确认，约±2分钟,2,06:50,17:20,SHMAAS,,,,,07:15,计划发车,A,终点ETA确认/一致估算,是,5,3,89.7,13/18
,沪A58633D,0,港城路地铁站,07:20,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,09:14,114分钟,,,SHMAAS末次终点ETA推算：08:50采样，终点ETA 24分钟,,06:50,17:20,SHMAAS,,,,,07:20,计划发车,C,末次终点ETA兜底,是,6,6,89.2,10/18
,沪A51173D,0,港城路地铁站,07:30,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,09:18,109分钟,,,SHMAAS末次终点ETA推算：09:00采样，终点ETA 18分钟,,06:10,17:20,SHMAAS,,,,,07:30,计划发车,B,末次终点ETA兜底,是,6,6,84.8,3/18
,沪A57022D,1,锦带路迎春路（浦东新区办公中心）,07:30,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:07,97分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,07:00,17:20,SHMAAS,,,,,07:30,计划发车,A,终点ETA确认/一致估算,是,6,6,87.7,7/18
,沪A53629D,0,港城路地铁站,07:42,锦带路迎春路（浦东新区办公中心）,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:14,92分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,07:20,17:20,SHMAAS,,,,,07:42,计划发车,A,终点ETA确认/一致估算,是,3,3,90.3,14/18
,沪A55150D,1,锦带路迎春路（浦东新区办公中心）,07:45,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:21,96分钟,,,SHMAAS终点近站ETA直接确认，约±2分钟,2,06:00,17:20,SHMAAS,,,,,07:45,计划发车,A,终点ETA确认/一致估算,是,6,6,87.0,5/18
,沪A66373D,0,港城路地铁站,07:54,锦带路迎春路（浦东新区办公中心）,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:21,87分钟,,,SHMAAS终点近站ETA直接确认，约±2分钟,2,06:20,17:20,SHMAAS,,,,,07:54,计划发车,A,终点ETA确认/一致估算,是,4,3,79.3,1/18
,沪A59117D,1,锦带路迎春路（浦东新区办公中心）,08:03,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:31,88分钟,,,SHMAAS终点近站ETA直接确认，约±2分钟,2,06:00,17:20,SHMAAS,,,,,08:03,计划发车,A,终点ETA确认/一致估算,是,4,4,87.5,6/18
,沪A57902D,0,港城路地铁站,08:06,锦带路迎春路（浦东新区办公中心）,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:33,87分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,07:00,17:20,SHMAAS,,,,,08:06,计划发车,A,终点ETA确认/一致估算,是,3,3,86.7,4/18
