车牌号,方向,发车时间,计划发车时间,发车时间依据,到达时间,全程时间,班次类型,班次类型判定依据,到达置信度,到达估算方法,参与车速排名,本车首次观测,最后可靠采集站点,最后可靠预计到达时间,备注,当日车速排名,当日计入排名班次,当日平均全程时间（分钟）
沪A35172D,0,06:50,06:50,SHMAAS待发计划,待确认,,运行异常待查,存在方向切换，但未达到提前反向80%判据,D,证据不足,否,06:25,金杨路金口路,08:18,,,0,
沪A35172D,1,08:50,08:50,SHMAAS待发计划,待确认,,运行异常待查,存在方向切换，但未达到提前反向80%判据,D,证据不足,否,06:25,巨峰路成园路,09:31,,,0,
沪A35172D,0,15:00,15:00,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:25,丁香路金松路,16:18,,,0,
沪A35172D,1,16:55,16:55,SHMAAS待发计划,待确认,,运行异常待查,存在方向切换，但未达到提前反向80%判据,D,证据不足,否,06:25,金高路俱进路,17:55,,,0,
沪A35172D,1,20:40,20:40,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,06:25,,,,,0,
沪A35186D,1,06:50,06:50,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:25,港城路地铁站,08:17,存在终点ETA，但运行轨迹仍需复核,,0,
沪A35186D,0,08:30,08:30,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:25,丁香路金松路,09:54,存在终点ETA，但运行轨迹仍需复核,,0,
沪A35186D,1,10:20,10:20,SHMAAS待发计划,待确认,,运行异常待查,存在方向切换，但未达到提前反向80%判据,D,证据不足,否,06:25,五莲路荷泽路,10:50,,,0,
沪A35186D,1,15:30,15:30,SHMAAS待发计划,待确认,,运行异常待查,存在方向切换，但未达到提前反向80%判据,D,证据不足,否,06:25,金高路俱进路,16:15,,,0,
沪A35186D,0,17:25,17:25,SHMAAS待发计划,待确认,,运行异常待查,存在方向切换，但未达到提前反向80%判据,D,证据不足,否,06:25,金高路俱进路,18:05,,,0,
沪A35591D,0,06:40,06:40,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:10,丁香路金松路,08:27,存在终点ETA，但运行轨迹仍需复核,2,2,89
沪A35591D,1,08:33,08:33,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:10,大同路石家街（市七医院）,09:54,存在终点ETA，但运行轨迹仍需复核,2,2,89
沪A35591D,0,10:25,10:25,SHMAAS待发计划,11:47,82,全程车,未发现可靠中途折返证据,A,终点近站ETA,是,06:10,,,终点近站ETA推算，约±5分钟,2,2,89
