线路,车牌号,发车时间,发车站,终点站,班次类型,区间/异常说明,预计到达时间,全程时间（分钟）,到达置信度,到达估算方法,参与车速排名,最后可靠采集站点,最后可靠预计到达时间,本车首次观测,当日车速排名
浦东78路,沪A35172D,07:00,港城路地铁站,锦带路迎春路（浦东新区办公中心）,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,08:42,102.0,A,终点ETA多样本共识,是,杨高中路云山路,08:43,06:30,6
浦东78路,沪A35186D,07:54,港城路地铁站,锦带路迎春路（浦东新区办公中心）,运行中待确认,尚未取得连续终点ETA或可靠折返轨迹证据,,,D,,否,金高路俱进路,08:47,06:10,
浦东78路,沪A35591D,08:18,港城路地铁站,锦带路迎春路（浦东新区办公中心）,运行中待确认,尚未取得连续终点ETA或可靠折返轨迹证据,,,D,,否,和龙路清溪路,08:53,06:30,3
浦东78路,沪A35591D,06:40,锦带路迎春路（浦东新区办公中心）,港城路地铁站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,08:11,91.4,A,终点近站ETA确认,是,港城路地铁站,08:11,06:30,3
浦东78路,沪A35616D,09:00,港城路地铁站,锦带路迎春路（浦东新区办公中心）,运行异常待查,发车后缺少同向到站预测证据,,,D,,否,,,06:30,
浦东78路,沪A35616D,07:00,锦带路迎春路（浦东新区办公中心）,港城路地铁站,运行异常待查,发车后缺少同向到站预测证据,,,D,,否,,,06:30,
浦东78路,沪A35616D,07:15,锦带路迎春路（浦东新区办公中心）,港城路地铁站,运行中待确认,已出现单次同向终点ETA，等待更多采样确认全程运行,09:02,106.5,A,终点ETA多样本共识,否,杨高北路航津路,09:05,06:30,
浦东78路,沪A36809D,06:10,港城路地铁站,锦带路迎春路（浦东新区办公中心）,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,07:38,88.5,C,终点ETA多样本共识,是,杨高中路云山路,07:40,06:00,2
浦东78路,沪A36809D,08:03,锦带路迎春路（浦东新区办公中心）,港城路地铁站,运行中待确认,尚未取得连续终点ETA或可靠折返轨迹证据,,,D,,否,张杨北路博兴路,08:52,06:00,2
浦东78路,沪A36930D,08:21,锦带路迎春路（浦东新区办公中心）,港城路地铁站,运行异常待查,发车后缺少同向到站预测证据,,,D,,否,,,07:30,
浦东78路,沪A36930D,08:39,锦带路迎春路（浦东新区办公中心）,港城路地铁站,运行异常待查,发车后缺少同向到站预测证据,,,D,,否,,,07:30,
浦东78路,沪A51173D,06:25,港城路地铁站,锦带路迎春路（浦东新区办公中心）,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,08:08,103.4,C,终点ETA多样本共识,是,丁香路金松路,08:17,06:00,7
