车牌号,方向,发车时间,计划发车时间,发车时间依据,到达时间,全程时间,班次类型,班次类型判定依据,到达置信度,到达估算方法,参与车速排名,本车首次观测,最后可靠采集站点,最后可靠预计到达时间,备注,当日车速排名,当日计入排名班次,当日平均全程时间（分钟）
沪A02126A,0,07:48,07:48,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,07:41,,,,,0,
沪A12050A,0,08:31,08:31,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,07:56,,,,,0,
沪A12050A,0,12:20,12:20,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,07:56,,,,,0,
沪A31073D,1,08:15,08:15,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,05:41,,,,,0,
沪A31073D,1,12:00,12:00,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,05:41,,,,,0,
沪A31963D,1,06:35,06:35,SHMAAS待发计划,08:01,86,全程车,未发现可靠中途折返证据,A,多次终点ETA一致,是,05:41,,,多次终点ETA一致推算，约±3分钟,1,1,86
沪A31963D,0,08:15,08:15,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,05:41,,,,1,1,86
沪A32298D,0,06:20,06:20,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,05:41,金杨路金口路,07:43,存在终点ETA，但运行轨迹仍需复核,,0,
沪A32298D,1,07:55,07:55,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,05:41,,,,,0,
沪A35717D,1,06:10,06:10,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,05:41,,,,,0,
沪A35717D,0,08:00,08:00,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,05:41,,,,,0,
沪A51671D,0,05:50,05:50,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,05:41,,,,,0,
沪A67026D,1,05:45,05:45,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,05:41,,,,,0,
沪A67026D,0,12:45,12:45,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,05:41,,,,,0,
沪A67353D,0,06:05,06:05,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,05:41,,,,,0,
沪A68397D,1,08:35,08:35,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,07:41,,,,,0,
沪A68397D,1,12:20,12:20,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,07:41,,,,,0,
沪A68870D,1,12:40,12:40,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,07:41,,,,,0,
