临时车辆编号,车牌号,方向,始发站,发车时间,终点站,班次类型,班次类型判定依据,到达时间,全程时间,车速（km/h）,当日平均车速（km/h）,到达时间说明,到达误差估计（分钟）,本车首次观测,本车末次观测,数据源,区间站,区间站到达时间,区间站折返发车时间,区间时间说明,计划发车时间,发车时间依据,到达置信度,到达估算方法,参与车速排名,当日实际运营次数,当日计入排名班次,当日平均全程时间（分钟）,当日车速排名
,沪A35717D,1,金杨路金口路,17:30,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,19:02,92分钟,,,SHMAAS终点近站ETA直接确认，约±2分钟,2,06:41,21:22,SHMAAS,,,,,17:30,计划发车,A,终点ETA确认/一致估算,是,8,8,79.9,8/14
,沪A67353D,0,川沙客运站,17:30,金杨路金口路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,18:59,90分钟,,,SHMAAS末次终点ETA推算：18:41采样，终点ETA 18分钟,,06:02,20:31,SHMAAS,,,,,17:30,计划发车,B,末次终点ETA兜底,是,7,7,82.7,14/14
,沪A55712D,1,金杨路金口路,17:45,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,19:22,97分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,07:11,21:22,SHMAAS,,,,,17:45,计划发车,A,终点ETA确认/一致估算,是,8,8,77.5,4/14
,沪A32298D,0,川沙客运站,17:50,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,19:12,82分钟,,,SHMAAS终点近站ETA直接确认，约±2分钟,2,06:02,20:41,SHMAAS,,,,,17:50,计划发车,A,终点ETA确认/一致估算,是,7,7,80.0,9/14
,沪A31073D,1,金杨路金口路,18:01,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,19:28,87分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:02,19:21,SHMAAS,,,,,18:01,计划发车,A,终点ETA确认/一致估算,是,6,6,81.3,12/14
,沪A67983D,1,金杨路金口路,18:15,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,19:38,83分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:02,19:31,SHMAAS,,,,,18:15,计划发车,A,终点ETA确认/一致估算,是,7,7,79.1,6/14
,沪A68397D,0,川沙客运站,18:15,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,19:34,79分钟,,,SHMAAS多次终点ETA一致估算，约±5分钟,5,06:02,21:02,SHMAAS,,,,,18:15,计划发车,A,终点ETA确认/一致估算,是,8,8,79.6,7/14
,沪A12050A,1,金杨路金口路,18:31,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,19:52,81分钟,,,SHMAAS终点近站ETA直接确认，约±2分钟,2,07:21,19:51,SHMAAS,,,,,18:31,计划发车,A,终点ETA确认/一致估算,是,6,6,78.8,5/14
,沪A68870D,0,川沙客运站,18:40,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,19:56,76分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:02,21:12,SHMAAS,,,,,18:40,计划发车,A,终点ETA确认/一致估算,是,8,8,75.1,3/14
,沪A13735A,1,金杨路金口路,18:45,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,20:08,83分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:02,20:01,SHMAAS,,,,,18:45,计划发车,A,终点ETA确认/一致估算,是,7,7,81.6,13/14
,沪A02126A,1,金杨路金口路,19:00,川沙客运站,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,20:13,74分钟,,,SHMAAS末次终点ETA推算：20:01采样，终点ETA 12分钟,,07:51,20:01,SHMAAS,,,,,19:00,计划发车,B,末次终点ETA兜底,是,6,6,72.2,1/14
,沪A66513D,0,川沙客运站,19:05,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,20:12,67分钟,,,SHMAAS终点近站ETA直接确认，约±2分钟,2,06:11,21:22,SHMAAS,,,,,19:05,计划发车,A,终点ETA确认/一致估算,是,8,8,74.9,2/14
,沪A67353D,1,金杨路金口路,19:15,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,20:36,81分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:02,20:31,SHMAAS,,,,,19:15,计划发车,A,终点ETA确认/一致估算,是,7,7,82.7,14/14
,沪A32298D,1,金杨路金口路,19:30,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,20:46,76分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:02,20:41,SHMAAS,,,,,19:30,计划发车,A,终点ETA确认/一致估算,是,7,7,80.0,9/14
,沪A35717D,0,川沙客运站,19:30,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,20:42,72分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:41,21:22,SHMAAS,,,,,19:30,计划发车,A,终点ETA确认/一致估算,是,8,8,79.9,8/14
,沪A68397D,1,金杨路金口路,19:50,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,21:03,73分钟,,,SHMAAS终点近站ETA直接确认，约±2分钟,2,06:02,21:02,SHMAAS,,,,,19:50,计划发车,A,终点ETA确认/一致估算,是,8,8,79.6,7/14
,沪A55712D,0,川沙客运站,19:55,金杨路金口路,全程车,已取得可靠同向线路终点ETA，按全程车保护,21:02,67分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,07:11,21:22,SHMAAS,,,,,19:55,计划发车,A,终点ETA确认/一致估算,是,8,8,77.5,4/14
,沪A68870D,1,金杨路金口路,20:10,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,21:18,68分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:02,21:12,SHMAAS,,,,,20:10,计划发车,A,终点ETA确认/一致估算,是,8,8,75.1,3/14
,沪A66513D,1,金杨路金口路,20:30,川沙客运站,全程车,已取得可靠同向线路终点ETA，按全程车保护,21:44,74分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:11,21:22,SHMAAS,,,,,20:30,计划发车,A,终点ETA确认/一致估算,是,8,8,74.9,2/14
,沪A35717D,1,金杨路金口路,20:50,川沙客运站,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,22:04,74分钟,,,SHMAAS末次终点ETA推算：21:22采样，终点ETA 42分钟,,06:41,21:22,SHMAAS,,,,,20:50,计划发车,C,末次终点ETA兜底,是,8,8,79.9,8/14
,沪A55712D,1,金杨路金口路,21:15,川沙客运站,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,22:26,72分钟,,,21:22采样：该车到重点站长岛路台儿庄路 ETA 5分钟；叠加该车自身同类时段从该站到终点历史中位数60分钟，约±9分钟,9,07:11,21:22,SHMAAS,,,,,21:15,计划发车,B,同车重点站剩余时间,是,8,8,77.5,4/14
