车牌号,方向,发车时间,计划发车时间,发车时间依据,到达时间,全程时间,班次类型,班次类型判定依据,到达置信度,到达估算方法,参与车速排名,本车首次观测,最后可靠采集站点,最后可靠预计到达时间,备注,当日车速排名,当日计入排名班次,当日平均全程时间（分钟）
沪A35172D,0,06:40,06:40,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:00,丁香路长柳路,08:34,存在终点ETA，但运行轨迹仍需复核,4,1,83
沪A35172D,1,08:45,08:45,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:00,港城路地铁站,10:07,存在终点ETA，但运行轨迹仍需复核,4,1,83
沪A35172D,0,10:45,10:45,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:00,丁香路民生路,12:04,存在终点ETA，但运行轨迹仍需复核,4,1,83
沪A35172D,1,12:15,12:15,SHMAAS待发计划,13:38,83,全程车,未发现可靠中途折返证据,A,多次终点ETA一致,是,06:00,,,多次终点ETA一致推算，约±3分钟,4,1,83
沪A35172D,0,14:00,14:00,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,06:00,,,,4,1,83
沪A35186D,0,07:20,07:20,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:50,锦带路迎春路（浦东新区办公中心）,09:03,存在终点ETA，但运行轨迹仍需复核,5,1,83
沪A35186D,1,09:20,09:20,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:50,港城路地铁站,10:41,存在终点ETA，但运行轨迹仍需复核,5,1,83
沪A35186D,0,11:35,11:35,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:50,锦带路迎春路（浦东新区办公中心）,12:51,存在终点ETA，但运行轨迹仍需复核,5,1,83
沪A35186D,1,13:05,13:05,SHMAAS待发计划,14:28,83,全程车,未发现可靠中途折返证据,A,多次终点ETA一致,是,06:50,,,多次终点ETA一致推算，约±4分钟,5,1,83
沪A35591D,0,06:10,06:10,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:00,丁香路长柳路,07:44,存在终点ETA，但运行轨迹仍需复核,11,1,89
沪A35591D,1,08:03,08:03,SHMAAS待发计划,09:32,89,全程车,未发现可靠中途折返证据,A,终点近站ETA,是,06:00,,,终点近站ETA推算，约±5分钟,11,1,89
沪A35591D,0,14:20,14:20,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,06:00,,,,11,1,89
沪A36809D,1,07:45,07:45,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:00,港城路地铁站,09:21,存在终点ETA，但运行轨迹仍需复核,3,1,81
沪A36809D,0,09:55,09:55,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:00,丁香路民生路,11:16,存在终点ETA，但运行轨迹仍需复核,3,1,81
沪A36809D,1,11:25,11:25,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:00,港城路地铁站,12:46,存在终点ETA，但运行轨迹仍需复核,3,1,81
沪A36809D,0,13:15,13:15,SHMAAS待发计划,14:36,81,全程车,未发现可靠中途折返证据,A,多次终点ETA一致,是,06:00,,,多次终点ETA一致推算，约±3分钟,3,1,81
