车牌号,方向,发车时间,计划发车时间,发车时间依据,到达时间,全程时间,班次类型,班次类型判定依据,到达置信度,到达估算方法,参与车速排名,本车首次观测,最后可靠采集站点,最后可靠预计到达时间,备注,当日车速排名,当日计入排名班次,当日平均全程时间（分钟）
沪A05218D,1,08:18,08:18,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,05:38,,,,,0,
沪A05218D,1,08:20,08:20,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,05:38,莱阳路东陆路,10:31,,,0,
沪A05218D,0,15:45,15:45,SHMAAS待发计划,待确认,,运行异常待查,存在方向切换，但未达到提前反向80%判据,D,证据不足,否,05:38,康沈路梓康路,17:53,存在终点ETA，但运行轨迹仍需复核,,0,
沪A09172D,1,08:06,08:06,SHMAAS待发计划,待确认,,运行异常待查,存在方向切换，但未达到提前反向80%判据,D,证据不足,否,06:50,柳埠路长岛路,10:18,,,0,
沪A09172D,0,11:20,11:20,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:50,关岳路康达路,13:15,存在终点ETA，但运行轨迹仍需复核,,0,
沪A09172D,1,16:30,16:30,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,06:50,,,,,0,
沪A11062A,0,06:36,06:36,SHMAAS待发计划,待确认,,运行异常待查,存在方向切换，但未达到提前反向80%判据,D,证据不足,否,05:38,锦绣路花木路,07:57,,,0,
沪A11062A,0,09:24,09:24,SHMAAS待发计划,待确认,,疑似区间车,同车发车64分钟后已反向运行，早于该方向已确认全程最短123分钟的80%阈值（98.2分钟）,D,证据不足,否,05:38,迎春路芳甸路,10:15,,,0,
沪A11062A,0,15:35,15:35,SHMAAS待发计划,待确认,,疑似区间车,同车发车78分钟后已反向运行，早于该方向已确认全程最短123分钟的80%阈值（98.2分钟）,D,证据不足,否,05:38,锦绣路花木路,16:42,,,0,
沪A15330A,1,16:08,16:08,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,09:55,,,,,0,
沪A15790A,0,07:06,07:06,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:39,关岳路康达路,09:33,,2,1,126
沪A15790A,1,10:00,10:00,SHMAAS待发计划,12:06,126,全程车,未发现可靠中途折返证据,B,末次终点ETA,是,06:39,,,末次终点ETA推算，约±10分钟,2,1,126
沪A15790A,1,12:08,10:05,终点确认到达+2分钟（覆盖计划时间）,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:39,东葛路东靖路,11:59,存在终点ETA，但运行轨迹仍需复核,2,1,126
沪A15790A,0,16:45,16:45,SHMAAS待发计划,待确认,,运行异常待查,存在方向切换，但未达到提前反向80%判据,D,证据不足,否,06:39,锦绣路花木路,18:00,,2,1,126
沪A36993D,1,07:30,07:30,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,07:24,,,,,0,
沪A36993D,0,10:30,10:30,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,07:24,,,,,0,
沪A36993D,0,10:40,10:40,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,07:24,,,,,0,
沪A36993D,1,13:30,13:30,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,07:24,,,,,0,
沪A36993D,0,18:40,18:40,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,07:24,,,,,0,
沪A37267D,0,06:41,06:41,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:10,康弘路康丽路,09:29,存在终点ETA，但运行轨迹仍需复核,,0,
沪A37267D,1,09:40,09:40,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:10,东高路张杨北路,11:46,存在终点ETA，但运行轨迹仍需复核,,0,
沪A37267D,0,16:30,16:30,SHMAAS待发计划,待确认,,运行异常待查,存在方向切换，但未达到提前反向80%判据,D,证据不足,否,06:10,沪南路北中路,17:58,,,0,
沪A37823D,0,06:20,06:20,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,05:38,关岳路康达路,08:20,存在终点ETA，但运行轨迹仍需复核,,0,
沪A37823D,1,09:17,09:17,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,05:38,东葛路东靖路,11:13,存在终点ETA，但运行轨迹仍需复核,,0,
沪A37823D,0,12:05,12:05,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,05:38,关岳路康达路,13:56,存在终点ETA，但运行轨迹仍需复核,,0,
沪A37823D,1,17:00,17:00,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,05:38,,,,,0,
沪A52272D,0,05:55,05:55,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,05:38,康弘路康丽路,08:21,存在终点ETA，但运行轨迹仍需复核,,0,
沪A52272D,1,08:55,08:55,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,05:38,东高路张杨北路,11:10,存在终点ETA，但运行轨迹仍需复核,,0,
沪A52272D,0,16:15,16:15,SHMAAS待发计划,待确认,,运行异常待查,存在方向切换，但未达到提前反向80%判据,D,证据不足,否,05:38,沪南路康花路,18:06,,,0,
沪A55102D,0,06:54,06:54,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:25,关岳路康达路,09:27,存在终点ETA，但运行轨迹仍需复核,14,2,781
沪A55102D,1,09:47,09:47,SHMAAS待发计划,11:51,124,全程车,未发现可靠中途折返证据,B,末次终点ETA,是,06:25,,,末次终点ETA推算，约±10分钟,14,2,781
沪A55102D,1,11:53,09:50,终点确认到达+2分钟（覆盖计划时间）,11:51,1438,全程车,未发现可靠中途折返证据,B,末次终点ETA,是,06:25,,,末次终点ETA推算，约±10分钟,14,2,781
沪A55102D,1,11:53,09:55,终点确认到达+2分钟（覆盖计划时间）,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:25,东高路张杨北路,11:51,存在终点ETA，但运行轨迹仍需复核,14,2,781
沪A55102D,0,12:30,12:30,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:25,关岳路康达路,14:19,存在终点ETA，但运行轨迹仍需复核,14,2,781
沪A55102D,1,17:20,17:20,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,06:25,,,,14,2,781
沪A57051D,1,06:42,06:42,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,05:51,东葛路东靖路,09:11,存在终点ETA，但运行轨迹仍需复核,13,2,144.5
沪A57051D,0,09:30,09:30,SHMAAS待发计划,11:50,140,全程车,未发现可靠中途折返证据,C,末次终点ETA,是,05:51,,,末次终点ETA推算，约±15分钟,13,2,144.5
沪A57051D,0,11:52,09:35,终点确认到达+2分钟（覆盖计划时间）,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,05:51,关岳路康达路,11:34,存在终点ETA，但运行轨迹仍需复核,13,2,144.5
沪A57051D,1,15:10,15:10,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,05:51,东葛路东靖路,17:22,存在终点ETA，但运行轨迹仍需复核,13,2,144.5
沪A57051D,0,18:00,18:00,SHMAAS待发计划,20:29,149,全程车,未发现可靠中途折返证据,B,末次终点ETA,是,05:51,,,末次终点ETA推算，约±10分钟,13,2,144.5
沪A62217D,0,08:06,08:06,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:39,康恩路康浦路,10:29,存在终点ETA，但运行轨迹仍需复核,7,1,137
