线路,车牌号,发车时间,发车站,终点站,班次类型,区间/异常说明,预计到达时间,全程时间（分钟）,到达置信度,到达估算方法,参与车速排名,最后可靠采集站点,最后可靠预计到达时间,本车首次观测,当日车速排名
182路,沪A08953A,08:15,川沙客运站,金杨路金口路,全程车,已取得接近终点的同向ETA证据；按全程运行处理,09:33,78.2,A,终点ETA多样本共识,是,金杨路金业路,09:37,06:02,6
182路,沪A08953A,06:35,金杨路金口路,川沙客运站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,07:57,81.8,B,终点ETA多样本共识,是,川沙路南桥路,07:57,06:02,6
182路,沪A08953A,10:20,金杨路金口路,川沙客运站,运行中待确认,尚未取得连续终点ETA或可靠折返轨迹证据,,,D,,否,东陆路金海路,11:03,06:02,6
182路,沪A12050A,07:48,川沙客运站,金杨路金口路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,09:24,95.6,A,终点ETA多样本共识,是,金杨路金桥路,09:24,07:21,14
182路,沪A12050A,09:50,金杨路金口路,川沙客运站,运行中待确认,已出现单次同向终点ETA，等待更多采样确认全程运行,10:55,64.6,A,终点ETA多样本共识,否,华夏三路新德西路,11:01,07:21,14
182路,沪A13735A,06:48,川沙客运站,金杨路金口路,运行异常待查,出现反方向到站预测，但未满足连续位置、时间及空间衔接三项折返证据；不判区间车,,,D,,否,金杨路金业路,08:18,06:11,9
182路,沪A13735A,10:40,川沙客运站,金杨路金口路,运行中待确认,尚未取得连续终点ETA或可靠折返轨迹证据,,,D,,否,川沙客运站,11:21,06:11,9
182路,沪A13735A,08:35,金杨路金口路,川沙客运站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,09:58,83.1,A,终点ETA多样本共识,是,新川路川沙路,09:59,06:11,9
182路,沪A31073D,07:24,川沙客运站,金杨路金口路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,08:51,87.5,A,终点ETA多样本共识,是,金杨路金业路,08:49,06:02,5
182路,沪A31073D,09:22,金杨路金口路,川沙客运站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,10:33,71.0,A,终点近站ETA确认,是,川环南路妙境路,10:33,06:02,5
182路,沪A32298D,07:36,川沙客运站,金杨路金口路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,09:14,98.1,B,终点ETA多样本共识,是,金杨路金桥路,09:15,07:02,13
182路,沪A32298D,11:30,川沙客运站,金杨路金口路,运行异常待查,发车后缺少同向到站预测证据,,,D,,否,,,07:02,13
182路,沪A32298D,09:35,金杨路金口路,川沙客运站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,10:49,74.4,B,终点ETA多样本共识,是,新川路妙境路,10:51,07:02,13
