线路,车牌号,方向,发车时间,计划发车时间,发车时间依据,到达时间,全程时间,班次类型,班次类型判定依据,到达置信度,到达估算方法,参与车速排名,本车首次观测,最后可靠采集站点,最后可靠预计到达时间,备注,当日车速排名,当日计入排名班次,当日平均全程时间（分钟）
182路,沪A02126A,0,07:48,07:48,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,07:41,,,,,0,
182路,沪A12050A,0,08:31,08:31,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,07:56,,,,,0,
182路,沪A12050A,0,12:20,12:20,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,07:56,,,,,0,
182路,沪A31073D,1,08:15,08:15,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,05:41,,,,,0,
182路,沪A31073D,1,12:00,12:00,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,05:41,,,,,0,
182路,沪A31963D,1,06:35,06:35,SHMAAS待发计划,08:01,86,全程车,未发现可靠中途折返证据,A,多次终点ETA一致,是,05:41,,,多次终点ETA一致推算，约±3分钟,1,1,86
182路,沪A31963D,0,08:15,08:15,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,05:41,,,,1,1,86
182路,沪A32298D,0,06:20,06:20,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,05:41,金杨路金口路,07:43,存在终点ETA，但运行轨迹仍需复核,,0,
182路,沪A32298D,1,07:55,07:55,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,05:41,,,,,0,
182路,沪A35717D,1,06:10,06:10,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,05:41,,,,,0,
182路,沪A35717D,0,08:00,08:00,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,05:41,,,,,0,
182路,沪A51671D,0,05:50,05:50,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,05:41,,,,,0,
182路,沪A67026D,1,05:45,05:45,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,05:41,,,,,0,
182路,沪A67026D,0,12:45,12:45,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,05:41,,,,,0,
182路,沪A67353D,0,06:05,06:05,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,05:41,,,,,0,
182路,沪A68397D,1,08:35,08:35,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,07:41,,,,,0,
182路,沪A68397D,1,12:20,12:20,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,07:41,,,,,0,
182路,沪A68870D,1,12:40,12:40,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,07:41,,,,,0,
浦东35路,沪A02316D,1,08:06,08:06,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,05:40,,,,,0,
浦东35路,沪A05218D,0,05:50,05:50,SHMAAS待发计划,07:58,128,全程车,未发现可靠中途折返证据,A,终点近站ETA,是,05:40,,,终点近站ETA推算，约±5分钟,1,1,128
浦东35路,沪A05218D,1,08:30,08:30,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,05:40,,,,1,1,128
浦东35路,沪A09172D,1,08:18,08:18,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,07:40,,,,,0,
浦东35路,沪A36993D,1,05:50,05:50,SHMAAS待发计划,08:05,135,全程车,未发现可靠中途折返证据,B,末次终点ETA,是,05:40,,,末次终点ETA推算，约±10分钟,2,1,135
浦东35路,沪A37823D,0,06:26,06:26,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,05:40,,,,,0,
浦东35路,沪A37823D,0,12:05,12:05,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,05:40,,,,,0,
浦东35路,沪A51682D,0,06:10,06:10,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,05:40,,,,,0,
浦东35路,沪A55102D,0,12:30,12:30,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,07:40,,,,,0,
浦东35路,沪A62217D,0,08:06,08:06,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,07:40,,,,,0,
浦东35路,沪A62880D,1,06:31,06:31,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,05:40,,,,,0,
浦东35路,沪A62981D,0,07:42,07:42,SHMAAS待发计划,待确认,,运行异常待查,存在方向切换，但未达到提前反向80%判据,D,证据不足,否,07:40,东波路莱阳路,08:01,,,0,
浦东35路,沪A65668D,1,12:15,12:15,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,07:55,,,,,0,
浦东35路,沪A67057D,0,12:55,12:55,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,07:40,,,,,0,
浦东35路,沪A68261D,1,12:40,12:40,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,07:55,,,,,0,
浦东35路,沪A68375D,0,07:54,07:54,SHMAAS待发计划,待确认,,运行异常待查,存在方向切换，但未达到提前反向80%判据,D,证据不足,否,07:40,东靖路东沟路,08:00,,,0,
浦东35路,沪A70597D,1,07:42,07:42,SHMAAS待发计划,待确认,,运行异常待查,存在方向切换，但未达到提前反向80%判据,D,证据不足,否,07:40,川周公路康沈路,08:03,,,0,
浦东35路,沪A72873D,1,06:10,06:10,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,05:40,,,,,0,
浦东35路,沪A73927D,0,08:18,08:18,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,05:40,,,,,0,
浦东35路,沪A79307D,1,12:30,12:30,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,11:55,,,,,0,
浦东35路,沪A95621D,1,07:54,07:54,SHMAAS待发计划,待确认,,运行异常待查,存在方向切换，但未达到提前反向80%判据,D,证据不足,否,07:40,康弘路康汇路,07:56,,,0,
浦东78路,沪A35172D,1,12:15,12:15,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,07:40,,,,,0,
浦东78路,沪A35186D,1,13:05,13:05,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,07:40,,,,,0,
浦东78路,沪A35591D,1,08:03,08:03,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,07:40,,,,,0,
浦东78路,沪A36809D,1,07:45,07:45,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,07:40,,,,,0,
浦东78路,沪A36930D,1,08:21,08:21,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,07:55,,,,,0,
浦东78路,沪A51173D,1,12:40,12:40,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,07:40,,,,,0,
浦东78路,沪A53629D,0,07:42,07:42,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,07:40,,,,,0,
浦东78路,沪A56123D,1,08:15,08:15,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,07:40,,,,,0,
浦东78路,沪A56630D,0,12:50,12:50,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,07:40,,,,,0,
浦东78路,沪A57022D,0,08:18,08:18,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,07:40,,,,,0,
浦东78路,沪A57022D,0,12:00,12:00,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,07:40,,,,,0,
浦东78路,沪A57902D,0,08:06,08:06,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,07:40,,,,,0,
浦东78路,沪A58633D,0,12:25,12:25,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,07:40,,,,,0,
