线路,车牌号,发车时间,发车站,终点站,班次类型,区间/异常说明,预计到达时间,全程时间（分钟）,到达置信度,到达估算方法,参与车速排名,最后可靠采集站点,最后可靠预计到达时间,本车首次观测,当日车速排名
浦东35路,沪A02316D,11:40,东高路张杨北路,康恩路康浦路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,13:48,128.0,B,终点ETA多样本共识,是,周东路川周公路,13:55,07:40,13
浦东35路,沪A02316D,08:45,康恩路康浦路,东高路张杨北路,全程车,已取得接近终点的同向ETA证据；按全程运行处理,11:04,139.1,C,末次终点ETA,是,东高路张杨北路,11:04,07:40,13
浦东35路,沪A05218D,06:26,东高路张杨北路,康恩路康浦路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,08:59,153.0,C,终点ETA多样本共识,是,康丽路康弘路,09:14,06:01,15
浦东35路,沪A05218D,12:05,东高路张杨北路,康恩路康浦路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,14:12,126.9,A,终点近站ETA确认,是,康恩路康浦路,14:12,06:01,15
浦东35路,沪A05218D,09:25,康恩路康浦路,东高路张杨北路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,11:30,125.1,C,终点ETA多样本共识,是,东葛路东靖路,11:35,06:01,15
浦东35路,沪A09172D,06:10,东高路张杨北路,康恩路康浦路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,08:21,130.9,B,终点ETA多样本共识,是,康弘路康丽路,08:25,06:01,8
浦东35路,沪A09172D,16:30,东高路张杨北路,康恩路康浦路,运行异常待查,发车后缺少同向到站预测证据,,,D,,否,,,06:01,8
浦东35路,沪A09172D,09:05,康恩路康浦路,东高路张杨北路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,11:10,124.5,B,终点ETA多样本共识,是,东高路张杨北路,11:14,06:01,8
浦东35路,沪A11062A,06:36,东高路张杨北路,康恩路康浦路,运行异常待查,出现反方向到站预测，但未满足连续位置、时间及空间衔接三项折返证据；不判区间车,,,D,,否,丁香路锦绣路,07:42,06:01,
浦东35路,沪A11062A,09:24,东高路张杨北路,康恩路康浦路,运行异常待查,发车后缺少同向到站预测证据,,,D,,否,,,06:01,
浦东35路,沪A11062A,09:30,东高路张杨北路,康恩路康浦路,运行异常待查,出现反方向到站预测，但未满足连续位置、时间及空间衔接三项折返证据；不判区间车,,,D,,否,白桦路明月路,10:29,06:01,
浦东35路,沪A11062A,15:35,东高路张杨北路,康恩路康浦路,运行中待确认,尚未取得连续终点ETA或可靠折返轨迹证据,,,D,,否,博兴路兰城路,16:27,06:01,
浦东35路,沪A15330A,16:08,康恩路康浦路,东高路张杨北路,运行异常待查,发车后缺少同向到站预测证据,,,D,,否,,,09:31,
浦东35路,沪A15790A,07:41,东高路张杨北路,康恩路康浦路,运行异常待查,发车后缺少同向到站预测证据,,,D,,否,,,06:40,5
浦东35路,沪A15790A,07:54,东高路张杨北路,康恩路康浦路,运行异常待查,出现反方向到站预测，但未满足连续位置、时间及空间衔接三项折返证据；不判区间车,,,D,,否,康丽路康弘路,10:17,06:40,5
浦东35路,沪A15790A,13:20,东高路张杨北路,康恩路康浦路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,15:25,125.0,B,终点ETA多样本共识,是,康弘路康丽路,15:26,06:40,5
浦东35路,沪A15790A,10:45,康恩路康浦路,东高路张杨北路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,12:48,123.5,B,终点ETA多样本共识,是,东高路张杨北路,12:54,06:40,5
浦东35路,沪A36993D,09:30,东高路张杨北路,康恩路康浦路,运行异常待查,发车后缺少同向到站预测证据,,,D,,否,,,06:01,9
浦东35路,沪A36993D,09:40,东高路张杨北路,康恩路康浦路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,11:48,128.0,B,终点ETA多样本共识,是,康丽路康弘路,11:48,06:01,9
浦东35路,沪A36993D,06:42,康恩路康浦路,东高路张杨北路,运行异常待查,出现反方向到站预测，但未满足连续位置、时间及空间衔接三项折返证据；不判区间车,,,D,,否,东波路莱阳路,09:33,06:01,9
浦东35路,沪A36993D,15:10,康恩路康浦路,东高路张杨北路,运行中待确认,尚未取得连续终点ETA或可靠折返轨迹证据,,,D,,否,沪南路高科西路,16:53,06:01,9
浦东35路,沪A37267D,07:10,东高路张杨北路,康恩路康浦路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,09:43,152.9,B,终点ETA多样本共识,是,康弘路康丽路,09:44,06:40,12
浦东35路,沪A37267D,12:55,东高路张杨北路,康恩路康浦路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,15:02,127.2,A,终点近站ETA确认,是,康恩路康浦路,15:02,06:40,12
浦东35路,沪A37267D,10:15,康恩路康浦路,东高路张杨北路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,12:15,119.9,B,终点ETA多样本共识,是,东高路张杨北路,12:23,06:40,12
浦东35路,沪A37823D,06:55,东高路张杨北路,康恩路康浦路,运行异常待查,出现反方向到站预测，但未满足连续位置、时间及空间衔接三项折返证据；不判区间车,,,D,,否,康丽路康弘路,09:23,06:31,1
浦东35路,沪A37823D,10:00,康恩路康浦路,东高路张杨北路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,11:56,115.9,B,终点ETA多样本共识,是,东高路张杨北路,12:03,06:31,1
浦东35路,沪A51682D,06:41,东高路张杨北路,康恩路康浦路,运行异常待查,出现反方向到站预测，但未满足连续位置、时间及空间衔接三项折返证据；不判区间车,,,D,,否,康丽路康弘路,09:29,06:20,2
浦东35路,沪A51682D,12:30,东高路张杨北路,康恩路康浦路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,14:32,122.2,B,终点ETA多样本共识,是,康丽路康弘路,14:36,06:20,2
浦东35路,沪A51682D,09:40,康恩路康浦路,东高路张杨北路,运行异常待查,发车后缺少同向到站预测证据,,,D,,否,,,06:20,2
浦东35路,沪A51682D,09:44,康恩路康浦路,东高路张杨北路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,11:44,120.1,B,终点ETA多样本共识,是,东葛路东靖路,11:49,06:20,2
浦东35路,沪A55102D,07:25,东高路张杨北路,康恩路康浦路,全程车,已取得接近终点的同向ETA证据；按全程运行处理,09:52,146.9,A,终点ETA多样本共识,是,康弘路康丽路,09:54,06:51,17
浦东35路,沪A55102D,10:30,康恩路康浦路,东高路张杨北路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,12:35,125.0,B,终点ETA多样本共识,是,东葛路东靖路,12:38,06:51,17
浦东35路,沪A57051D,10:20,东高路张杨北路,康恩路康浦路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,12:24,124.4,B,终点ETA多样本共识,是,康丽路康弘路,12:30,07:01,6
浦东35路,沪A57051D,07:18,康恩路康浦路,东高路张杨北路,运行异常待查,出现反方向到站预测，但未满足连续位置、时间及空间衔接三项折返证据；不判区间车,,,D,,否,东葛路东靖路,10:09,07:01,6
浦东35路,沪A57051D,16:00,康恩路康浦路,东高路张杨北路,运行中待确认,尚未取得连续终点ETA或可靠折返轨迹证据,,,D,,否,康恩路康浦路,16:33,07:01,6
浦东35路,沪A62217D,15:45,东高路张杨北路,康恩路康浦路,运行中待确认,尚未取得连续终点ETA或可靠折返轨迹证据,,,D,,否,莱阳路东陆路,16:17,06:01,24
浦东35路,沪A62217D,08:06,康恩路康浦路,东高路张杨北路,全程车,已取得接近终点的同向ETA证据；按全程运行处理,10:38,151.6,B,终点ETA多样本共识,是,东葛路东靖路,10:45,06:01,24
浦东35路,沪A62880D,10:10,东高路张杨北路,康恩路康浦路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,12:16,125.9,B,终点ETA多样本共识,是,康丽路康弘路,12:16,06:40,23
浦东35路,沪A62880D,07:06,康恩路康浦路,东高路张杨北路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,09:53,166.9,C,终点ETA多样本共识,是,东葛路东靖路,10:04,06:40,23
浦东35路,沪A62880D,15:35,康恩路康浦路,东高路张杨北路,运行中待确认,尚未取得连续终点ETA或可靠折返轨迹证据,,,D,,否,康沈路秀康路,16:52,06:40,23
浦东35路,沪A62981D,15:25,东高路张杨北路,康恩路康浦路,运行中待确认,尚未取得连续终点ETA或可靠折返轨迹证据,,,D,,否,金杨路金业路,17:02,06:51,4
浦东35路,沪A62981D,07:12,康恩路康浦路,东高路张杨北路,运行异常待查,旧轨迹模型发现疑似折返信号，但新规则要求：同向连续3次未采到后启动5分钟定向反向追踪，并确认反向推进≥5站；当前尚未取得该确认,,,D,,否,沪南路高科西路,08:41,06:51,4
