车牌号,发车时间,发车站,终点站,班次类型,区间/异常说明,预计到达时间,全程时间（分钟）,到达置信度,到达估算方法,参与车速排名,最后可靠采集站点,最后可靠预计到达时间,本车首次观测,当日车速排名,当日计入排名班次,当日平均全程时间（分钟）
沪A66513D,14:40,金杨路金口路,川沙客运站,全程车,同车随后反向运行，且末次同向观测已进入线路末段；按全程运行处理,,,D,,否,新川路川沙路,,14:38,,,
沪A66513D,18:15,金杨路金口路,川沙客运站,全程车,末次同向观测已进入线路末段，且未满足提前反向区间车判据；按全程运行处理,,,D,,否,川环南路妙境路,,14:38,,,
沪A67026D,15:45,川沙客运站,金杨路金口路,运行异常待查,同车后续方向切换，但未满足提前折返判据,,,D,,否,唐陆公路顾家浜路,,15:01,,,
沪A67026D,17:15,金杨路金口路,川沙客运站,全程车,末次同向观测已进入线路末段，且未满足提前反向区间车判据；按全程运行处理,,,D,,否,川环南路川沙路,,15:01,,,
沪A67353D,15:15,川沙客运站,金杨路金口路,运行异常待查,同车后续方向切换，但未满足提前折返判据,,,D,,否,唐陆公路锦绣东路,,14:38,,,
沪A67353D,18:40,川沙客运站,金杨路金口路,运行异常待查,同车后续方向切换，但未满足提前折返判据,,,D,,否,唐陆公路台桥路,,14:38,,,
沪A67353D,16:40,金杨路金口路,川沙客运站,运行异常待查,同车后续方向切换，但未满足提前折返判据,,,D,,否,华夏三路城丰路,,14:38,,,
沪A67353D,20:10,金杨路金口路,川沙客运站,全程车,末次同向观测已进入线路末段，且未满足提前反向区间车判据；按全程运行处理,,,D,,否,川环南路川沙路,,14:38,,,
沪A67983D,17:50,川沙客运站,金杨路金口路,运行异常待查,同车后续方向切换，但未满足提前折返判据,,,D,,否,荷泽路长岛路,,14:38,,,
沪A67983D,15:40,金杨路金口路,川沙客运站,全程车,同车随后反向运行，且末次同向观测已进入线路末段；按全程运行处理,,,D,,否,川环南路川沙路,,14:38,,,
沪A67983D,19:30,金杨路金口路,川沙客运站,全程车,末次同向观测已进入线路末段，且未满足提前反向区间车判据；按全程运行处理,,,D,,否,川沙客运站,,14:38,,,
沪A68397D,16:00,川沙客运站,金杨路金口路,运行异常待查,同车后续方向切换，但未满足提前折返判据,,,D,,否,唐陆公路春雅路,,15:21,,,
沪A68397D,19:30,川沙客运站,金杨路金口路,运行异常待查,同车后续方向切换，但未满足提前折返判据,,,D,,否,唐陆公路锦绣东路,,15:21,,,
沪A68397D,17:30,金杨路金口路,川沙客运站,运行异常待查,同车后续方向切换，但未满足提前折返判据,,,D,,否,唐陆公路创新路,,15:21,,,
沪A68397D,20:50,金杨路金口路,川沙客运站,全程车,末次同向观测已进入线路末段，且未满足提前反向区间车判据；按全程运行处理,,,D,,否,川沙路南桥路,,15:21,,,
沪A68870D,16:12,川沙客运站,金杨路金口路,运行异常待查,同车后续方向切换，但未满足提前折返判据,,,D,,否,博兴路东陆路,,15:41,,,
沪A68870D,19:55,川沙客运站,金杨路金口路,运行异常待查,同车后续方向切换，但未满足提前折返判据,,,D,,否,唐陆公路龙东大道,,15:41,,,
沪A68870D,17:45,金杨路金口路,川沙客运站,运行异常待查,同车后续方向切换，但未满足提前折返判据,,,D,,否,新德西路德川路,,15:41,,,
沪A68870D,21:15,金杨路金口路,川沙客运站,运行中待确认,尚未观察到终点或反向运行证据,,,D,,否,唐陆公路顾家浜路,,15:41,,,
