线路,车牌号,发车时间,发车站,终点站,班次类型,区间/异常说明,预计到达时间,全程时间（分钟）,到达置信度,到达估算方法,参与车速排名,最后可靠采集站点,最后可靠预计到达时间,本车首次观测,当日车速排名
浦东35路,沪A02316D,16:01,东高路张杨北路,康恩路康浦路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,18:11,129.6,B,终点ETA多样本共识,是,康弘路康丽路,18:14,06:01,23
浦东35路,沪A02316D,08:28,康恩路康浦路,东高路张杨北路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,10:45,137.0,C,终点ETA多样本共识,是,东波路莱阳路,10:52,06:01,23
浦东35路,沪A02316D,18:50,康恩路康浦路,东高路张杨北路,运行中待确认,已出现单次同向终点ETA，等待更多采样确认全程运行,20:45,115.0,B,终点ETA多样本共识,否,五莲路兰城路,20:56,06:01,23
浦东35路,沪A05218D,06:18,东高路张杨北路,康恩路康浦路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,08:13,114.9,B,终点ETA多样本共识,是,康丽路康弘路,08:22,06:01,3
浦东35路,沪A05218D,16:30,东高路张杨北路,康恩路康浦路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,18:42,131.9,A,终点近站ETA确认,是,康恩路康浦路,18:42,06:01,3
浦东35路,沪A05218D,09:00,康恩路康浦路,东高路张杨北路,运行异常待查,出现反方向到站预测，但未满足连续位置、时间及空间衔接三项折返证据；不判区间车,,,D,,否,东葛路东靖路,11:08,06:01,3
浦东35路,沪A05218D,19:15,康恩路康浦路,东高路张杨北路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,21:18,122.9,C,终点ETA多样本共识,是,东波路莱阳路,21:22,06:01,3
浦东35路,沪A09172D,11:50,东高路张杨北路,康恩路康浦路,运行异常待查,出现反方向到站预测，但未满足连续位置、时间及空间衔接三项折返证据；不判区间车,,,D,,否,康丽路康弘路,14:00,06:50,13
浦东35路,沪A09172D,19:30,东高路张杨北路,康恩路康浦路,运行异常待查,出现反方向到站预测，但未满足连续位置、时间及空间衔接三项折返证据；不判区间车,,,D,,否,金杨路云山路,20:26,06:50,13
浦东35路,沪A09172D,08:48,康恩路康浦路,东高路张杨北路,运行异常待查,出现反方向到站预测，但未满足连续位置、时间及空间衔接三项折返证据；不判区间车,,,D,,否,五莲路兰城路,10:32,06:50,13
浦东35路,沪A09172D,16:45,康恩路康浦路,东高路张杨北路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,18:52,127.0,B,终点ETA多样本共识,是,锦绣路花木路,18:59,06:50,13
浦东35路,沪A11062A,07:18,东高路张杨北路,康恩路康浦路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,09:22,123.9,B,终点ETA多样本共识,是,康弘路康丽路,09:26,06:50,15
浦东35路,沪A11062A,12:55,东高路张杨北路,康恩路康浦路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,15:03,127.9,B,终点ETA多样本共识,是,康弘路康丽路,15:05,06:50,15
浦东35路,沪A11062A,10:15,康恩路康浦路,东高路张杨北路,运行异常待查,发车后缺少同向到站预测证据,,,D,,否,,,06:50,15
浦东35路,沪A11062A,17:30,康恩路康浦路,东高路张杨北路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,19:42,132.0,A,终点近站ETA确认,是,东高路张杨北路,19:42,06:50,15
浦东35路,沪A15330A,06:05,东高路张杨北路,康恩路康浦路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,08:12,126.9,A,终点近站ETA确认,是,康恩路康浦路,08:12,06:01,9
浦东35路,沪A15330A,11:34,东高路张杨北路,康恩路康浦路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,13:35,120.9,B,终点ETA多样本共识,是,康丽路康弘路,13:37,06:01,9
浦东35路,沪A15330A,08:38,康恩路康浦路,东高路张杨北路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,10:47,129.0,B,终点ETA多样本共识,是,东波路莱阳路,10:54,06:01,9
浦东35路,沪A15330A,14:05,康恩路康浦路,东高路张杨北路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,16:12,127.0,A,终点近站ETA确认,是,东高路张杨北路,16:12,06:01,9
浦东35路,沪A15790A,07:30,东高路张杨北路,康恩路康浦路,运行异常待查,出现反方向到站预测，但未满足连续位置、时间及空间衔接三项折返证据；不判区间车,,,D,,否,康丽路康弘路,09:37,07:01,5
浦东35路,沪A15790A,17:30,东高路张杨北路,康恩路康浦路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,19:34,123.8,A,终点ETA多样本共识,是,康弘路康丽路,19:36,07:01,5
浦东35路,沪A15790A,10:30,康恩路康浦路,东高路张杨北路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,12:33,123.0,B,终点ETA多样本共识,是,东葛路东靖路,12:37,07:01,5
