线路,车牌号,发车时间,发车站,终点站,班次类型,区间/异常说明,预计到达时间,全程时间（分钟）,到达置信度,到达估算方法,参与车速排名,最后可靠采集站点,最后可靠预计到达时间,本车首次观测,当日车速排名
182路,沪A08953A,07:48,川沙客运站,金杨路金口路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,09:37,108.8,B,终点ETA多样本共识,是,金杨路金桥路,09:37,07:21,12
182路,沪A08953A,11:55,川沙客运站,金杨路金口路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,13:05,70.4,B,终点ETA多样本共识,是,金杨路金业路,13:06,07:21,12
182路,沪A08953A,09:50,金杨路金口路,川沙客运站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,11:00,70.5,A,终点ETA多样本共识,是,新川路华城路,11:02,07:21,12
182路,沪A08953A,13:25,金杨路金口路,川沙客运站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,14:37,72.3,B,终点ETA多样本共识,是,川沙路南桥路,14:37,07:21,12
182路,沪A12050A,08:31,川沙客运站,金杨路金口路,全程车,已取得接近终点的同向ETA证据；按全程运行处理,09:53,81.6,A,终点近站ETA确认,是,金杨路枣庄路,09:53,07:51,2
182路,沪A12050A,12:20,川沙客运站,金杨路金口路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,13:31,70.6,B,终点ETA多样本共识,是,长岛路台儿庄路,13:31,07:51,2
182路,沪A12050A,10:35,金杨路金口路,川沙客运站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,11:45,69.9,A,终点ETA多样本共识,是,川沙路南桥路,11:46,07:51,2
182路,沪A12050A,13:50,金杨路金口路,川沙客运站,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,15:03,72.9,A,终点近站ETA确认,是,川环南路妙境路,15:03,07:51,2
182路,沪A13735A,06:48,川沙客运站,金杨路金口路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,08:16,88.2,A,终点ETA多样本共识,是,金杨路金桥路,08:15,06:11,8
182路,沪A13735A,10:40,川沙客运站,金杨路金口路,全程车,同向终点ETA在多个采样时点持续出现；按全程运行处理,11:53,72.7,A,终点近站ETA确认,是,金杨路枣庄路,11:53,06:11,8
