线路,车牌号,方向,发车时间,计划发车时间,发车时间依据,到达时间,全程时间,班次类型,班次类型判定依据,到达置信度,到达估算方法,参与车速排名,本车首次观测,最后可靠采集站点,最后可靠预计到达时间,备注,当日车速排名,当日计入排名班次,当日平均全程时间（分钟）
浦东78路,沪A35616D,0,05:58,05:58,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,05:51,丁香路金松路,07:25,存在终点ETA，但运行轨迹仍需复核,,0,
浦东78路,沪A35616D,1,07:47,07:47,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,05:51,港城路地铁站,09:28,存在终点ETA，但运行轨迹仍需复核,,0,
浦东78路,沪A35616D,0,09:45,09:45,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,05:51,丁香路金松路,10:58,存在终点ETA，但运行轨迹仍需复核,,0,
浦东78路,沪A35616D,1,11:25,11:25,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,05:51,大同路石家街（市七医院）,12:37,存在终点ETA，但运行轨迹仍需复核,,0,
浦东78路,沪A35616D,0,13:15,13:15,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,05:51,丁香路金松路,14:22,,,0,
浦东78路,沪A35616D,1,15:15,15:15,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,05:51,大同路石家街（市七医院）,16:35,,,0,
浦东78路,沪A35616D,0,16:55,16:55,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,05:51,,,,,0,
浦东78路,沪A36809D,1,07:15,07:15,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:50,港城路地铁站,08:57,存在终点ETA，但运行轨迹仍需复核,6,1,95
浦东78路,沪A36809D,0,09:00,09:00,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:50,丁香路金松路,10:18,存在终点ETA，但运行轨迹仍需复核,6,1,95
浦东78路,沪A36809D,1,10:45,10:45,SHMAAS待发计划,待确认,,运行异常待查,存在方向切换，但未达到提前反向80%判据,D,证据不足,否,06:50,五莲路荷泽路,11:10,,6,1,95
浦东78路,沪A36809D,1,15:55,15:55,SHMAAS待发计划,17:30,95,全程车,未发现可靠中途折返证据,B,末次终点ETA,是,06:50,,,末次终点ETA推算，约±10分钟,6,1,95
浦东78路,沪A36809D,0,17:55,17:55,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,06:50,,,,6,1,95
浦东78路,沪A36930D,1,08:21,08:21,SHMAAS待发计划,10:11,110,全程车,未发现可靠中途折返证据,B,末次终点ETA,是,07:37,,,末次终点ETA推算，约±10分钟,12,1,110
浦东78路,沪A51173D,1,07:00,07:00,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:25,港城路地铁站,08:31,存在终点ETA，但运行轨迹仍需复核,5,1,93
浦东78路,沪A51173D,0,08:45,08:45,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:25,锦带路迎春路（浦东新区办公中心）,10:10,存在终点ETA，但运行轨迹仍需复核,5,1,93
浦东78路,沪A51173D,1,10:35,10:35,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:25,港城路地铁站,11:52,存在终点ETA，但运行轨迹仍需复核,5,1,93
浦东78路,沪A51173D,0,12:25,12:25,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:25,丁香路金松路,13:35,存在终点ETA，但运行轨迹仍需复核,5,1,93
浦东78路,沪A51173D,1,14:20,14:20,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:25,港城路地铁站,15:36,存在终点ETA，但运行轨迹仍需复核,5,1,93
浦东78路,沪A51173D,0,16:10,16:10,SHMAAS待发计划,17:43,93,全程车,未发现可靠中途折返证据,A,多次终点ETA一致,是,06:25,,,多次终点ETA一致推算，约±4分钟,5,1,93
浦东78路,沪A51173D,1,17:55,17:55,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,06:25,,,,5,1,93
浦东78路,沪A52736D,0,07:20,07:20,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,07:10,丁香路金松路,08:55,,,0,
浦东78路,沪A52736D,1,09:20,09:20,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,07:10,港城路地铁站,10:49,存在终点ETA，但运行轨迹仍需复核,,0,
浦东78路,沪A52736D,0,11:10,11:10,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,07:10,丁香路金松路,12:24,存在终点ETA，但运行轨迹仍需复核,,0,
浦东78路,沪A52736D,1,13:05,13:05,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,07:10,港城路地铁站,14:21,存在终点ETA，但运行轨迹仍需复核,,0,
浦东78路,沪A52736D,0,14:50,14:50,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,07:10,丁香路金松路,16:00,存在终点ETA，但运行轨迹仍需复核,,0,
浦东78路,沪A52736D,1,16:40,16:40,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,07:10,,,,,0,
浦东78路,沪A53629D,0,08:06,08:06,SHMAAS待发计划,待确认,,运行异常待查,存在方向切换，但未达到提前反向80%判据,D,证据不足,否,07:10,金杨路金口路,09:15,,2,1,83
浦东78路,沪A53629D,1,15:20,15:20,SHMAAS待发计划,16:43,83,全程车,未发现可靠中途折返证据,C,末次终点ETA,是,07:10,,,末次终点ETA推算，约±15分钟,2,1,83
浦东78路,沪A53629D,1,16:45,15:30,终点确认到达+2分钟（覆盖计划时间）,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,07:10,大同路石家街（市七医院）,16:35,存在终点ETA，但运行轨迹仍需复核,2,1,83
浦东78路,沪A53629D,0,17:10,17:10,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,07:10,,,,2,1,83
浦东78路,沪A55150D,0,06:25,06:25,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,05:51,锦带路迎春路（浦东新区办公中心）,08:05,存在终点ETA，但运行轨迹仍需复核,7,1,97
浦东78路,沪A55150D,1,08:09,08:09,SHMAAS待发计划,09:46,97,全程车,未发现可靠中途折返证据,A,终点近站ETA,是,05:51,,,终点近站ETA推算，约±5分钟,7,1,97
浦东78路,沪A55150D,1,09:48,08:21,终点确认到达+2分钟（覆盖计划时间）,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,05:51,港城路地铁站,09:46,存在终点ETA，但运行轨迹仍需复核,7,1,97
浦东78路,沪A55150D,0,10:10,10:10,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,05:51,锦带路迎春路（浦东新区办公中心）,11:30,存在终点ETA，但运行轨迹仍需复核,7,1,97
浦东78路,沪A55150D,1,11:50,11:50,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,05:51,港城路地铁站,13:14,存在终点ETA，但运行轨迹仍需复核,7,1,97
浦东78路,沪A55150D,0,13:40,13:40,SHMAAS待发计划,待确认,,运行异常待查,存在方向切换，但未达到提前反向80%判据,D,证据不足,否,05:51,金杨路金口路,14:42,存在终点ETA，但运行轨迹仍需复核,7,1,97
浦东78路,沪A55150D,1,15:45,15:45,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,05:51,大同路石家街（市七医院）,16:56,,7,1,97
浦东78路,沪A55150D,0,17:40,17:40,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,05:51,,,,7,1,97
