临时车辆编号,车牌号,方向,始发站,发车时间,终点站,班次类型,班次类型判定依据,到达时间,全程时间,车速（km/h）,当日平均车速（km/h）,到达时间说明,到达误差估计（分钟）,本车首次观测,本车末次观测,数据源,区间站,区间站到达时间,区间站折返发车时间,区间时间说明,计划发车时间,发车时间依据,到达置信度,到达估算方法,参与车速排名,当日实际运营次数,当日计入排名班次,当日平均全程时间（分钟）,当日车速排名
,沪A02316D,0,东高路张杨北路,06:10,康恩路康浦路,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:33,143分钟,,,SHMAAS多次终点ETA一致估算，约±5分钟,5,06:01,21:20,SHMAAS,,,,,06:10,计划发车,A,终点ETA确认/一致估算,是,4,4,141.5,14/31
,沪A70597D,1,康恩路康浦路,06:10,东高路张杨北路,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:46,156分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,06:01,20:10,SHMAAS,,,,,06:10,计划发车,A,终点ETA确认/一致估算,是,4,4,144.8,22/31
,沪A09172D,0,东高路张杨北路,06:26,康恩路康浦路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,09:07,161分钟,,,SHMAAS末次终点ETA推算：09:01采样，终点ETA 6分钟,,06:01,19:20,SHMAAS,,,,,06:26,计划发车,B,末次终点ETA兜底,是,4,3,151.3,28/31
,沪A95621D,1,康恩路康浦路,06:31,东高路张杨北路,全程车,已取得可靠同向线路终点ETA，按全程车保护,08:58,147分钟,,,SHMAAS多次终点ETA一致估算，约±4分钟,4,06:01,16:40,SHMAAS,,,,,06:31,计划发车,A,终点ETA确认/一致估算,是,4,4,130.8,3/31
,沪A11062A,0,东高路张杨北路,06:36,康恩路康浦路,疑似区间车,原方向在全程48%处后消失；随后反向物理轨迹由seq28推进至seq60，推进32站，达到≥2站确认条件,待确认,待确认,,,尚无满足±5分钟标准的终点ETA,,06:01,18:01,SHMAAS,物理seq31（站名待映射）,07:52,07:57,折返点按重建物理位置seq31映射；到达按末次同向ETA估算；折返发车结合首次反向物理观测取区间中点，约±4分钟；反向位置物理seq28（站名待映射） ETA 9分钟参与校验,06:36,计划发车,D,待确认,否,3,0,,—/31
,沪A05218D,0,东高路张杨北路,06:41,康恩路康浦路,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:06,145分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:21,21:31,SHMAAS,,,,,06:41,计划发车,A,终点ETA确认/一致估算,是,4,3,142.3,17/31
,沪A90275D,1,康恩路康浦路,06:42,东高路张杨北路,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:25,163分钟,,,SHMAAS多次终点ETA一致估算，约±4分钟,4,06:01,20:31,SHMAAS,,,,,06:42,计划发车,A,终点ETA确认/一致估算,是,4,4,149.8,26/31
,沪A36993D,1,康恩路康浦路,06:54,东高路张杨北路,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:31,157分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:10,17:01,SHMAAS,,,,,06:54,计划发车,A,终点ETA确认/一致估算,是,4,4,138.0,8/31
,沪A67672D,0,东高路张杨北路,06:54,康恩路康浦路,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:36,162分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:31,19:41,SHMAAS,,,,,06:54,计划发车,A,终点ETA确认/一致估算,是,4,4,141.8,15/31
,沪A51682D,0,东高路张杨北路,07:06,康恩路康浦路,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:42,156分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:40,21:51,SHMAAS,,,,,07:06,计划发车,A,终点ETA确认/一致估算,是,4,4,141.0,12/31
,沪A72873D,1,康恩路康浦路,07:06,东高路张杨北路,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:54,168分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:40,19:20,SHMAAS,,,,,07:06,计划发车,A,终点ETA确认/一致估算,是,4,4,141.0,12/31
,沪A67712D,1,康恩路康浦路,07:12,东高路张杨北路,疑似区间车,原方向在全程36%处后消失；随后反向物理轨迹由seq37推进至seq60，推进23站，达到≥2站确认条件,待确认,待确认,,,尚无满足±5分钟标准的终点ETA,,06:51,19:31,SHMAAS,物理seq24（站名待映射）,08:34,08:42,折返点按重建物理位置seq24映射；到达按末次同向ETA估算；折返发车结合首次反向物理观测取区间中点，约±8分钟；反向位置浦建路锦绣路 ETA 9分钟参与校验,07:12,计划发车,D,待确认,否,4,2,130.5,2/31
,沪A37823D,0,东高路张杨北路,07:18,康恩路康浦路,全程车,已取得可靠同向线路终点ETA，按全程车保护,09:53,155分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:51,19:41,SHMAAS,,,,,07:18,计划发车,A,终点ETA确认/一致估算,是,4,4,142.5,18/31
,沪A62880D,1,康恩路康浦路,07:18,东高路张杨北路,全程车,已取得可靠同向线路终点ETA，按全程车保护,10:07,169分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,07:01,15:40,SHMAAS,,,,,07:18,计划发车,A,终点ETA确认/一致估算,是,3,3,146.0,25/31
,沪A62981D,1,康恩路康浦路,07:24,东高路张杨北路,疑似区间车,原方向在全程38%处后消失；随后反向物理轨迹由seq38推进至seq56，推进18站，达到≥2站确认条件,待确认,待确认,,,尚无满足±5分钟标准的终点ETA,,07:19,20:51,SHMAAS,沪南路高科西路,09:01,09:11,折返点按重建物理位置seq25映射；到达按末次同向ETA估算；折返发车结合首次反向物理观测取区间中点，约±10分钟；反向位置物理seq38（站名待映射） ETA 8分钟参与校验,07:24,计划发车,D,待确认,否,4,2,145.5,23/31
,沪A37267D,0,东高路张杨北路,07:30,康恩路康浦路,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,09:59,150分钟,,,SHMAAS末次终点ETA推算：09:50采样，终点ETA 9分钟,,07:01,21:51,SHMAAS,,,,,07:30,计划发车,B,末次终点ETA兜底,是,4,3,142.0,16/31
